probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.10666555],5,5,5,7,[5.8711185],1
[0.13358396],5,5,15,18,[5.9523478],2
[0.14899144],5,5,12,8,[5.850169],3
[0.15620619],5,5,11,19,[5.9354095],4
[0.17069328],5,5,9,8,[5.851161],5
[0.17622131],5,5,8,16,[5.813985],6
[0.17878802],5,5,6,7,[5.9357758],7
[0.17116515],5,5,9,17,[5.886423],8
[0.15933973],5,5,1,2,[5.971265],9
[0.167343],8,8,1,8,[5.812528],10
[0.17751673],8,8,5,7,[5.816823],11
[0.19116792],8,8,18,7,[5.943034],12
[0.20594585],8,8,16,2,[5.9106765],13
[0.22203006],8,8,4,6,[5.915575],14
[0.21875182],8,8,1,14,[5.941123],15
[0.22355857],8,8,14,1,[5.94069],16
[0.22766751],8,8,10,3,[5.950416],17
[0.23371792],8,8,12,4,[5.8983536],18
[0.23341328],8,8,17,1,[5.9177465],19
[0.22322908],8,8,10,4,[5.936285],20
[0.22947088],8,8,4,1,[5.9332848],21
[0.21924408],8,8,15,7,[5.9472117],22
[0.2209386],8,8,7,6,[5.922346],23
[0.2201717],8,8,4,11,[5.90654],24
[0.21055683],8,8,18,4,[5.911855],25
[0.20475997],8,8,4,3,[5.9046144],26
[0.19804098],8,8,18,1,[5.942135],27
[0.18904042],8,8,4,18,[5.8912673],28
[0.18000726],8,8,10,16,[5.9004536],29
[0.1722133],8,8,19,8,[5.8026953],30
[0.17041564],8,8,17,19,[5.9104815],31
[0.17087172],8,8,5,17,[5.806967],32
[0.1706074],8,8,14,18,[5.918249],33
[0.1642507],8,8,4,19,[5.8638425],34
[0.16614081],8,8,3,9,[5.919669],35
[0.165437],8,8,8,3,[5.793782],36
[0.16028899],8,8,10,13,[5.9610987],37
[0.1675608],8,8,12,15,[5.9297314],38
[0.17184384],8,8,11,8,[5.7834525],39
[0.17473464],8,8,19,8,[5.794688],40
[0.1837211],8,8,2,5,[5.886813],41
[0.2044806],8,8,11,8,[5.7500634],42
[0.22077802],8,8,3,17,[5.886696],43
[0.23201746],8,8,2,8,[5.7519674],44
[0.25957936],8,8,11,15,[5.9439754],45
[0.2803135],8,8,17,3,[5.888001],46
[0.2910337],8,8,11,9,[5.92534],47
[0.30576673],8,8,11,9,[5.9251986],48
[0.32520935],8,8,8,12,[5.62566],49
[0.3375704],8,8,5,6,[5.88309],50
[0.35811636],8,8,6,7,[5.946219],51
[0.36915702],8,8,9,8,[5.571139],52
[0.39453125],8,8,17,15,[5.9133916],53
[0.42601252],8,8,18,11,[5.943818],54
[0.44067708],8,8,3,16,[5.930885],55
[0.44616127],8,8,10,16,[5.949896],56
[0.44652224],8,8,14,17,[5.9079103],57
[0.45804715],8,8,19,12,[5.959116],58
[0.44507697],8,8,9,5,[5.895876],59
[0.45566067],8,8,10,16,[5.949971],60
[0.45003176],8,8,14,12,[5.952258],61
[0.4513535],8,8,11,13,[5.955638],62
[0.4448934],8,8,18,11,[5.940134],63
[0.4126033],8,8,5,18,[5.903476],64
[0.41010013],8,8,1,18,[5.9666586],65
[0.40184647],8,8,10,8,[5.564665],66
[0.41126454],8,8,3,11,[5.9110537],67
[0.39840865],8,8,4,3,[5.909792],68
[0.377207],8,8,7,19,[5.962858],69
[0.38834333],8,8,16,12,[5.920743],70
[0.3610123],8,8,6,5,[5.8782883],71
[0.35933936],8,8,4,18,[5.9148974],72
[0.3658445],8,8,3,10,[5.939528],73
[0.3347795],8,8,4,6,[5.9132967],74
[0.3094264],8,8,7,15,[5.9613543],75
[0.31685826],8,8,13,10,[5.9732304],76
[0.2824179],8,8,15,19,[5.964878],77
[0.2918715],8,8,2,7,[5.9678774],78
[0.29356095],8,8,10,3,[5.9213047],79
[0.25153968],8,8,9,17,[5.8736615],80
[0.2576094],8,8,3,18,[5.898944],81
[0.23937435],8,8,7,13,[5.9611993],82
[0.23296914],8,8,18,2,[5.951238],83
[0.21818256],8,8,2,9,[5.9412394],84
[0.21457915],8,8,12,14,[5.931155],85
[0.19976214],8,8,19,17,[5.8896093],86
[0.2063329],8,8,8,11,[5.678219],87
[0.1948881],8,8,19,11,[5.894492],88
[0.19355091],8,8,3,17,[5.816472],89
[0.17843689],8,8,7,4,[5.889513],90
[0.17384312],8,8,16,1,[5.9341984],91
[0.16970412],8,8,19,4,[5.8909903],92
[0.16659327],8,8,5,13,[5.8868427],93
[0.17974876],8,8,12,8,[5.7385654],94
[0.16382837],8,8,18,1,[5.9299974],95
[0.15783133],8,8,7,5,[5.8558097],96
[0.17244487],8,8,19,2,[5.9626102],97
[0.16327734],8,8,15,3,[5.882871],98
[0.16171253],8,8,13,18,[5.9377003],99
[0.15622635],8,8,1,16,[5.934364],100
[0.1637042],8,8,12,18,[5.9001703],101
[0.15559708],8,8,3,5,[5.7849073],102
[0.14924571],8,8,3,15,[5.8711925],103
[0.14574696],8,8,13,16,[5.9429083],104
[0.14031112],8,8,4,16,[5.869853],105
[0.14674436],8,8,11,5,[5.8010316],106
[0.12661119],3,3,1,9,[5.9308095],107
[0.13502306],8,8,14,12,[5.9316688],108
[0.13379546],5,3,7,5,[5.820674],109
[0.1319229],8,5,8,4,[5.748661],110
[0.13370046],8,8,8,10,[5.8047667],111
[0.14687176],8,8,10,11,[5.900749],112
[0.139871],5,8,11,15,[5.898844],113
[0.14619845],5,5,1,14,[5.9577627],114
[0.15380266],5,5,6,1,[5.9545403],115
[0.1428433],5,5,12,4,[5.8598995],116
[0.14783886],5,5,1,3,[5.853423],117
[0.14859457],5,5,3,15,[5.8497906],118
[0.15220709],5,5,13,9,[5.947779],119
