probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.25266373],2,2,15,7,[5.8983116],1
[0.24492833],2,2,9,10,[5.9505415],2
[0.22350909],2,2,10,13,[5.9516373],3
[0.20556325],2,2,18,2,[5.750513],4
[0.21968248],2,2,17,11,[5.907073],5
[0.23436745],2,2,14,11,[5.920539],6
[0.23541126],2,2,8,13,[5.9224935],7
[0.24302287],2,2,12,6,[5.9344788],8
[0.24194816],2,2,3,8,[5.898472],9
[0.2379915],2,2,16,14,[5.916276],10
[0.241618],2,2,1,6,[5.9486275],11
[0.23836893],2,2,12,1,[5.902239],12
[0.22655968],2,2,10,13,[5.929802],13
[0.22487584],2,2,9,1,[5.9316425],14
[0.21377611],2,2,10,11,[5.8969374],15
[0.20139787],2,2,8,15,[5.8055344],16
[0.19154488],2,2,18,15,[5.8373976],17
[0.17415771],2,2,4,6,[5.9787903],18
[0.17121308],2,2,10,15,[5.809844],19
[0.1581086],2,2,6,11,[5.9321632],20
[0.14121561],2,2,17,4,[5.927244],21
[0.15380815],15,15,7,5,[5.9447284],22
[0.15237546],15,15,6,2,[5.8495655],23
[0.16169035],15,15,10,15,[5.759034],24
[0.16217418],15,15,1,9,[5.9199038],25
[0.1725014],15,15,11,10,[5.8552628],26
[0.1842759],15,15,7,1,[5.913645],27
[0.18308276],15,15,4,19,[5.9740405],28
[0.18424696],15,15,13,1,[5.918089],29
[0.18414415],15,15,12,6,[5.9231396],30
[0.19482048],15,15,3,19,[5.954211],31
[0.20077728],15,15,6,18,[5.9461],32
[0.20278133],15,15,15,7,[5.7610517],33
[0.20966245],15,15,15,8,[5.7021937],34
[0.21406047],15,15,3,15,[5.740531],35
[0.2433884],15,15,18,1,[5.891619],36
[0.25120518],15,15,6,1,[5.908448],37
[0.28700346],15,15,17,13,[5.933368],38
[0.2865649],15,15,15,11,[5.6382275],39
[0.30849355],15,15,11,19,[5.9264107],40
[0.3327228],15,15,15,11,[5.591521],41
[0.35470566],15,15,1,13,[5.904071],42
[0.4032455],15,15,14,19,[5.9578156],43
[0.42945153],15,15,6,18,[5.967073],44
[0.4290231],15,15,11,14,[5.91273],45
[0.45424062],15,15,18,13,[5.966742],46
[0.45471624],15,15,12,7,[5.9495797],47
[0.45908612],15,15,15,4,[5.5204115],48
[0.47956914],15,15,9,2,[5.9453654],49
[0.5015611],15,15,12,17,[5.9430237],50
[0.5309792],15,15,15,17,[5.432162],51
[0.518339],15,15,2,4,[5.961361],52
[0.5429488],15,15,8,13,[5.955348],53
[0.56752086],15,15,4,18,[5.9883776],54
[0.5705312],15,15,3,19,[5.988908],55
[0.55381876],15,15,13,1,[5.927949],56
[0.60336626],15,15,17,14,[5.9660873],57
[0.57086724],15,15,4,8,[5.9695415],58
[0.5760394],15,15,6,7,[5.9894547],59
[0.5750468],15,15,5,8,[5.9672556],60
[0.5730259],15,15,18,14,[5.9676733],61
[0.5480394],15,15,17,11,[5.9221954],62
[0.5309232],15,15,18,3,[5.9710417],63
[0.49704197],15,15,9,6,[5.985574],64
[0.48774123],15,15,10,11,[5.899269],65
[0.44742793],15,15,12,14,[5.9368443],66
[0.44470033],15,15,5,9,[5.984097],67
[0.45105723],15,15,16,18,[5.9643526],68
[0.39705122],15,15,12,18,[5.9266567],69
[0.40478176],15,15,5,17,[5.9515495],70
[0.35674968],15,15,8,6,[5.928134],71
[0.33888862],15,15,5,2,[5.9361763],72
[0.31914136],15,15,3,10,[5.9302597],73
[0.30010113],15,15,7,3,[5.954089],74
[0.27068067],15,15,8,4,[5.921168],75
[0.2507081],15,15,15,11,[5.584201],76
[0.24130136],15,15,15,12,[5.651098],77
[0.2788014],15,15,17,5,[5.9323587],78
[0.2652234],15,15,11,10,[5.8287177],79
[0.25977996],15,15,4,5,[5.9756875],80
[0.28084493],15,15,7,18,[5.92152],81
[0.252537],15,15,2,1,[5.8534417],82
[0.24811281],15,15,2,4,[5.930743],83
[0.25012437],15,15,2,14,[5.900733],84
[0.26111287],15,15,7,5,[5.9596086],85
[0.2468559],15,15,16,14,[5.946993],86
[0.24713884],15,15,18,15,[5.6268983],87
[0.25241357],15,15,17,15,[5.6240387],88
[0.26464006],15,15,15,18,[5.6028566],89
[0.258495],15,15,2,1,[5.843941],90
[0.28273708],15,15,14,2,[5.886593],91
[0.31042334],15,15,14,18,[5.8963933],92
[0.28536245],15,15,13,6,[5.967265],93
[0.29563814],15,15,14,11,[5.8591475],94
[0.32480812],15,15,4,17,[5.934247],95
[0.30747807],15,15,1,5,[5.911974],96
[0.30204877],15,15,12,19,[5.948608],97
[0.32707483],15,15,2,7,[5.8869076],98
[0.30596516],15,15,5,3,[5.964899],99
[0.33726403],15,15,16,10,[5.953145],100
[0.29397765],15,15,3,15,[5.5793076],101
[0.3104357],15,15,13,17,[5.924706],102
[0.30918616],15,15,19,3,[5.971386],103
[0.3276179],15,15,8,10,[5.914184],104
[0.2942272],15,15,14,3,[5.93034],105
[0.33212677],15,15,18,5,[5.9100447],106
[0.30904657],15,15,17,11,[5.859521],107
[0.30191848],15,15,7,14,[5.924886],108
[0.2870977],15,15,2,8,[5.8395624],109
[0.26269257],15,15,1,5,[5.9046087],110
[0.2959855],15,15,18,15,[5.4901285],111
[0.234751],15,15,9,11,[5.906777],112
[0.27687576],15,15,3,16,[5.9668627],113
[0.24806231],15,15,3,14,[5.9167824],114
[0.23032056],15,15,4,1,[5.90937],115
[0.26756623],15,15,16,8,[5.9427013],116
[0.25719437],15,15,2,16,[5.868678],117
[0.21388946],15,15,6,11,[5.9008102],118
[0.22321692],15,15,4,8,[5.93645],119
[0.19705386],15,15,1,14,[5.8458595],120
[0.23015016],15,15,16,3,[5.959132],121
[0.1954578],15,15,8,13,[5.9251485],122
[0.17497407],15,15,11,14,[5.8345766],123
[0.19732855],15,15,3,15,[5.619196],124
[0.20466956],15,15,2,15,[5.525025],125
[0.2213161],15,15,19,3,[5.9559765],126
[0.1837871],15,15,4,11,[5.882374],127
[0.2116563],15,15,3,4,[5.9509783],128
[0.20836112],15,15,5,11,[5.872818],129
[0.22350252],15,15,14,3,[5.88348],130
[0.23011963],15,15,4,5,[5.972783],131
[0.25497556],15,15,3,19,[5.947306],132
[0.2679676],15,15,6,10,[5.9592257],133
[0.2155449],15,15,12,5,[5.9572062],134
[0.20854783],15,15,1,8,[5.8537993],135
[0.20375597],15,15,6,13,[5.974411],136
[0.20826195],15,15,8,13,[5.912501],137
[0.21118045],15,15,4,2,[5.8676147],138
[0.18432505],15,15,6,11,[5.832676],139
[0.1770342],15,15,12,14,[5.894305],140
[0.18169172],15,15,2,13,[5.8560667],141
[0.16316086],15,15,12,4,[5.958826],142
[0.16658953],15,15,5,12,[5.955288],143
[0.19267036],15,15,7,3,[5.914686],144
[0.16914937],15,15,17,11,[5.7948313],145
[0.18612628],15,15,19,15,[5.6199675],146
[0.17575873],15,15,8,19,[5.909074],147
[0.18003166],15,11,5,1,[5.898644],148
