probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.18113834],3,3,7,6,[5.832436],1
[0.17353031],3,3,2,4,[5.9172726],2
[0.1647716],3,3,13,8,[5.919342],3
[0.16487242],7,7,12,8,[5.9125996],4
[0.17188741],7,7,2,14,[5.907937],5
[0.17589007],7,7,7,14,[5.787016],6
[0.18935375],7,7,17,9,[5.9266663],7
[0.2002217],7,7,4,8,[5.8849564],8
[0.2088814],7,7,9,6,[5.900752],9
[0.21453883],7,7,17,2,[5.89425],10
[0.21769646],7,7,4,3,[5.8522396],11
[0.2178797],7,7,17,15,[5.9290156],12
[0.2166711],7,7,16,10,[5.923666],13
[0.21416618],7,7,5,16,[5.9307337],14
[0.2107343],7,7,7,8,[5.6916656],15
[0.215821],7,7,8,14,[5.8591337],16
[0.21885824],7,7,19,17,[5.9375596],17
[0.22043915],7,7,4,3,[5.855037],18
[0.22029394],7,7,19,17,[5.9353056],19
[0.21911196],7,7,3,10,[5.8727636],20
[0.21689679],7,7,17,11,[5.899893],21
[0.21343002],7,7,3,6,[5.834343],22
[0.20853788],7,7,2,5,[5.9072785],23
[0.20287606],7,7,8,11,[5.8321934],24
[0.19597684],7,7,3,2,[5.8099985],25
[0.1884786],7,7,18,16,[5.9374056],26
[0.1809675],7,7,4,12,[5.923741],27
[0.17388098],7,7,17,12,[5.9132433],28
[0.16706538],7,7,14,1,[5.950227],29
[0.16076082],7,7,3,19,[5.844241],30
[0.15448628],7,7,9,5,[5.9397774],31
[0.14879331],3,3,1,5,[5.970001],32
[0.1541377],3,3,16,12,[5.9193974],33
[0.15870404],3,3,3,10,[5.8122],34
[0.16731976],3,3,11,3,[5.782839],35
[0.1796974],3,3,15,19,[5.9594994],36
[0.19132979],3,3,9,16,[5.907428],37
[0.20175591],3,3,2,3,[5.714817],38
[0.21648997],3,3,18,12,[5.963345],39
[0.23028773],3,3,19,2,[5.8990784],40
[0.24204841],3,3,19,1,[5.9746113],41
[0.2529368],3,3,4,16,[5.892348],42
[0.261483],3,3,17,1,[5.9354124],43
[0.26827592],3,3,1,4,[5.944767],44
[0.2733313],3,3,16,5,[5.91558],45
[0.27689043],3,3,19,12,[5.9525156],46
[0.27941144],3,3,16,3,[5.6536436],47
[0.2898691],3,3,11,8,[5.868827],48
[0.2972631],3,3,2,1,[5.903906],49
[0.30201784],3,3,1,5,[5.9712844],50
[0.3058261],3,3,7,10,[5.906657],51
[0.30753648],3,3,2,5,[5.8833365],52
[0.30697665],3,3,14,3,[5.6629953],53
[0.31574714],3,3,3,6,[5.64818],54
[0.33256882],3,3,14,17,[5.9222136],55
[0.34616134],3,3,11,19,[5.9371924],56
[0.35759488],3,3,11,3,[5.6011953],57
[0.3772045],3,3,7,6,[5.910988],58
[0.39325848],3,3,19,16,[5.9131217],59
[0.40605286],3,3,8,9,[5.9183774],60
[0.41523194],3,3,5,2,[5.892254],61
[0.42050436],3,3,7,19,[5.92615],62
[0.4234917],3,3,13,9,[5.972503],63
[0.4248488],3,3,7,2,[5.8557954],64
[0.4222637],3,3,2,18,[5.9034066],65
[0.4171653],3,3,9,12,[5.960655],66
[0.41113973],3,3,13,11,[5.952116],67
[0.40394711],3,3,11,14,[5.93605],68
[0.39563128],3,3,11,8,[5.900688],69
[0.38559446],3,3,11,6,[5.9257774],70
[0.37490308],3,3,7,9,[5.9148917],71
[0.36334574],3,3,10,17,[5.944537],72
[0.3517303],3,3,7,14,[5.910369],73
[0.33954838],3,3,9,6,[5.9418516],74
[0.32788],3,3,13,16,[5.9246764],75
[0.3160075],3,3,3,19,[5.6570177],76
[0.31449783],3,3,9,15,[5.9589763],77
[0.31239116],3,3,12,6,[5.943183],78
[0.3094576],3,3,18,1,[5.988542],79
[0.30646184],3,3,15,13,[5.977461],80
[0.3031458],3,3,7,12,[5.8972716],81
[0.29867923],3,3,10,5,[5.961399],82
[0.29420552],3,3,7,5,[5.8933043],83
[0.2887063],3,3,9,5,[5.9416695],84
[0.28311333],3,3,12,14,[5.9452896],85
[0.27721784],3,3,12,18,[5.967228],86
[0.2715302],3,3,9,14,[5.929796],87
[0.26555234],3,3,11,18,[5.921912],88
[0.2593875],3,3,5,3,[5.713086],89
[0.2604013],3,3,10,5,[5.954627],90
[0.26087245],3,3,13,6,[5.945836],91
[0.26038677],3,3,12,18,[5.9619884],92
[0.25954142],3,3,10,15,[5.9664793],93
[0.25825328],3,3,9,12,[5.9212008],94
[0.2563696],3,3,1,3,[5.7352104],95
[0.2610083],3,3,12,10,[5.9451942],96
[0.26467243],3,3,8,12,[5.90598],97
[0.26690587],3,3,9,2,[5.8538694],98
[0.26749536],3,3,4,10,[5.9483814],99
[0.26704782],3,3,9,15,[5.9321256],100
[0.26618114],3,3,4,18,[5.9617834],101
[0.26468176],3,3,19,13,[5.9616466],102
[0.2628968],3,3,8,1,[5.9334126],103
[0.26039162],3,3,16,12,[5.9010963],104
[0.25709435],3,3,11,6,[5.8889437],105
[0.25295502],3,3,15,11,[5.9143744],106
[0.24838543],3,3,1,8,[5.928976],107
[0.24327555],3,3,19,15,[5.9584894],108
[0.23844925],3,3,19,1,[5.9662685],109
[0.23397812],3,3,4,3,[5.7307434],110
[0.23536994],3,3,3,14,[5.7295423],111
[0.2422875],3,3,12,19,[5.916993],112
[0.24799906],3,3,14,11,[5.8867674],113
