probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.10397059],7,7,13,16,[5.8658247],1
[0.11048124],16,16,18,13,[5.911721],2
[0.12093125],16,16,11,6,[5.9354277],3
[0.12819731],16,16,4,11,[5.935709],4
[0.13345975],16,16,15,13,[5.85783],5
[0.13654512],16,16,18,7,[5.8522263],6
[0.13762967],16,16,8,10,[5.940774],7
[0.13772695],16,16,6,18,[5.8843746],8
[0.1369361],16,16,15,11,[5.877404],9
[0.13574494],16,16,17,14,[5.9460297],10
[0.13369294],16,16,11,10,[5.9548354],11
[0.1315033],16,16,12,7,[5.8567204],12
[0.12857613],16,16,15,8,[5.8402576],13
[0.12539177],16,16,19,15,[5.8643384],14
[0.12760577],15,15,17,11,[5.945908],15
[0.13590406],15,15,6,4,[5.8832083],16
[0.14300643],15,15,18,6,[5.8581543],17
[0.14883193],15,15,1,8,[5.9149475],18
[0.15357576],15,15,13,6,[5.856659],19
[0.15669926],15,15,8,7,[5.834589],20
[0.15808684],15,15,13,18,[5.8516426],21
[0.1580528],15,15,10,7,[5.8603477],22
[0.15686525],15,15,4,8,[5.8920517],23
[0.15488],15,15,9,11,[5.959689],24
[0.15269613],15,15,17,9,[5.962947],25
[0.15036975],15,15,17,19,[5.9568863],26
[0.14777617],15,15,6,9,[5.8963127],27
[0.14491808],15,15,7,10,[5.836905],28
[0.14553928],7,7,16,19,[5.911841],29
[0.15104069],7,7,12,7,[5.817232],30
[0.16066909],7,7,16,3,[5.899062],31
[0.169145],7,7,11,7,[5.7930317],32
[0.18212615],7,7,13,19,[5.90885],33
[0.19378445],7,7,9,11,[5.9551744],34
[0.20462626],7,7,17,4,[5.9151244],35
[0.21406251],7,7,17,4,[5.9142175],36
[0.22202678],7,7,11,6,[5.856557],37
[0.2276639],7,7,9,15,[5.8903937],38
[0.23133296],7,7,18,4,[5.87786],39
[0.23289081],7,7,13,16,[5.851331],40
[0.23289964],7,7,17,12,[5.9402833],41
[0.23173817],7,7,15,9,[5.894356],42
[0.22936416],7,7,17,13,[5.879556],43
[0.22566606],7,7,10,12,[5.9550347],44
[0.22183281],7,7,14,19,[5.967722],45
[0.21788937],7,7,12,4,[5.9080467],46
[0.21361546],7,7,18,2,[5.91564],47
[0.20817609],7,7,5,1,[5.9630256],48
[0.20330986],7,7,16,1,[5.9072914],49
[0.19830236],7,7,18,11,[5.8883486],50
[0.1926108],7,7,19,7,[5.7903156],51
[0.19394596],7,7,5,2,[5.962734],52
[0.19490533],7,7,11,3,[5.9317894],53
[0.19515169],7,7,18,16,[5.8530235],54
[0.19397345],7,7,16,10,[5.902905],55
[0.19240156],7,7,17,2,[5.9327955],56
[0.18998098],7,7,16,13,[5.8224854],57
[0.18682826],7,7,3,8,[5.9316034],58
[0.1832238],7,7,10,18,[5.8966856],59
[0.178965],7,7,7,15,[5.7246575],60
[0.1800666],7,7,14,10,[5.960778],61
[0.18065904],7,7,15,1,[5.881322],62
[0.18038706],7,7,13,2,[5.87949],63
[0.17912745],7,7,2,10,[5.952594],64
[0.1776243],7,7,19,17,[5.940755],65
[0.17556204],7,7,16,12,[5.8669906],66
[0.17297229],7,7,2,13,[5.8725567],67
[0.16972691],7,7,10,1,[5.950911],68
[0.16677898],7,7,3,4,[5.914552],69
[0.16355027],7,7,16,1,[5.8617663],70
[0.16015482],7,7,11,3,[5.930934],71
[0.15669847],7,7,11,17,[5.911134],72
[0.15319939],7,7,3,10,[5.9476776],73
[0.14985967],7,7,3,6,[5.9151497],74
[0.1465174],7,7,7,9,[5.842001],75
[0.14744331],7,7,16,1,[5.8424683],76
[0.14776327],7,7,9,16,[5.85675],77
[0.1472537],7,7,17,3,[5.9263005],78
[0.14625525],7,7,5,7,[5.8372436],79
[0.15108122],16,16,11,18,[5.871357],80
[0.15520906],16,16,11,14,[5.9358377],81
[0.1585109],16,16,8,6,[5.909524],82
[0.16089286],16,16,6,8,[5.909194],83
[0.16245435],16,16,6,7,[5.7875605],84
[0.16230388],16,16,18,2,[5.892845],85
[0.16229762],7,7,8,11,[5.909398],86
[0.16483551],7,7,4,16,[5.7849483],87
[0.16596738],7,7,2,4,[5.9196215],88
[0.16672601],16,16,5,3,[5.9533787],89
[0.16878869],16,16,12,4,[5.920766],90
[0.1701569],16,16,2,4,[5.915313],91
[0.17102012],16,16,18,14,[5.904005],92
[0.17122367],16,16,13,15,[5.849879],93
[0.17040318],16,16,8,10,[5.931827],94
[0.16927864],16,16,9,3,[5.956605],95
[0.16789638],16,16,4,8,[5.89184],96
[0.16583699],16,16,2,14,[5.9519367],97
[0.16383918],16,16,5,18,[5.898944],98
[0.16143584],16,16,11,14,[5.923444],99
[0.15849671],16,16,2,6,[5.901921],100
[0.15546016],16,16,7,1,[5.827232],101
[0.15161304],16,16,8,19,[5.9389973],102
[0.14804515],16,16,10,13,[5.8968363],103
[0.14609937],7,7,4,3,[5.8823195],104
[0.14585422],7,7,7,3,[5.8128653],105
[0.14916043],7,7,13,7,[5.7713776],106
[0.15590903],7,7,3,11,[5.8938227],107
[0.16166297],7,7,16,9,[5.8628044],108
[0.16610526],7,7,2,14,[5.942852],109
[0.16960979],7,7,1,15,[5.917992],110
[0.17246583],7,7,13,16,[5.79335],111
[0.17386538],7,7,17,14,[5.9473877],112
[0.17471473],7,7,5,18,[5.9029913],113
[0.17473],7,7,12,17,[5.945203],114
[0.17426315],7,7,1,7,[5.7981925],115
[0.17882387],7,7,2,4,[5.8765373],116
[0.18203105],7,7,1,2,[5.9332314],117
[0.18445322],7,7,11,6,[5.8813972],118
[0.1859736],7,7,18,3,[5.870482],119
[0.18598029],7,7,12,7,[5.7915564],120
[0.19129464],7,7,16,2,[5.8328695],121
[0.19480912],7,7,16,9,[5.868959],122
[0.19702893],7,7,11,7,[5.7366514],123
[0.20433338],7,7,5,4,[5.905776],124
[0.21065816],7,7,14,17,[5.9503574],125
[0.21601129],7,7,2,18,[5.8719625],126
[0.219178],7,7,2,17,[5.9197445],127
[0.22087823],7,7,7,14,[5.7597036],128
[0.22935338],7,7,7,3,[5.724124],129
[0.24359897],7,7,2,4,[5.8665276],130
[0.25540215],7,7,6,18,[5.8761654],131
[0.2647064],7,7,18,7,[5.6540365],132
[0.28045416],7,7,18,6,[5.8766327],133
[0.29295486],7,7,11,15,[5.908247],134
[0.30345044],7,7,8,3,[5.931443],135
[0.3110225],7,7,6,13,[5.9002495],136
[0.3165205],7,7,7,2,[5.6276884],137
[0.33055642],7,7,15,11,[5.914688],138
[0.3418813],7,7,9,15,[5.9631433],139
[0.35110265],7,7,4,15,[5.8962708],140
[0.35746822],7,7,13,11,[5.8962355],141
[0.36059117],7,7,1,14,[5.97112],142
[0.36279246],7,7,18,7,[5.549204],143
[0.37435246],7,7,14,10,[5.976721],144
[0.38407093],7,7,15,3,[5.9358015],145
[0.39106825],7,7,3,2,[5.9152436],146
[0.39377943],7,7,5,9,[5.990768],147
[0.39560974],7,7,14,2,[5.934966],148
[0.3946219],7,7,12,9,[5.986676],149
[0.3925334],7,7,16,13,[5.882901],150
[0.38777196],7,7,10,16,[5.920652],151
[0.38166353],7,7,8,2,[5.9166408],152
[0.37280452],7,7,8,5,[5.972041],153
[0.36421373],7,7,3,19,[5.957755],154
[0.35455504],7,7,10,12,[5.976605],155
[0.34499392],7,7,15,12,[5.9508286],156
[0.3356572],7,7,16,10,[5.9103045],157
[0.32547224],7,7,2,13,[5.8625937],158
[0.31359142],7,7,17,4,[5.9136415],159
[0.30135974],7,7,14,3,[5.937461],160
[0.28977478],7,7,3,10,[5.937209],161
[0.27837527],7,7,1,17,[5.958601],162
[0.26762196],7,7,18,12,[5.8844805],163
[0.25622824],7,7,16,12,[5.894495],164
[0.2456121],7,7,2,8,[5.8620486],165
[0.23385307],7,7,18,6,[5.85388],166
[0.2221396],7,7,13,19,[5.932788],167
[0.21130514],7,7,9,14,[5.974313],168
[0.20163459],7,7,15,2,[5.821921],169
[0.19143042],7,7,3,15,[5.886629],170
[0.1817767],7,7,1,17,[5.954266],171
[0.17308064],7,7,2,9,[5.842046],172
[0.16405512],7,7,3,7,[5.7639246],173
[0.16702949],2,2,2,16,[5.736454],174
[0.17903157],2,2,2,7,[5.662797],175
[0.19515248],2,2,8,1,[5.9546957],176
[0.20966998],2,2,17,10,[5.9588966],177
[0.22305645],2,2,17,13,[5.9177637],178
[0.23463787],2,2,4,10,[5.9349365],179
[0.24436367],2,2,4,19,[5.944396],180
[0.252276],2,2,8,12,[5.9562163],181
[0.25888127],2,2,12,8,[5.9561963],182
[0.2639759],2,2,10,7,[5.8501806],183
[0.265695],2,2,4,10,[5.9343762],184
[0.26565588],2,2,5,6,[5.9595237],185
[0.26516685],2,2,4,18,[5.8543606],186
[0.26223084],2,2,5,18,[5.8993516],187
[0.2584809],2,2,1,13,[5.92739],188
[0.25366384],2,2,8,7,[5.8303976],189
[0.24646643],2,2,3,4,[5.872095],190
[0.23801215],2,2,14,16,[5.9010468],191
[0.22929195],2,2,19,16,[5.910383],192
[0.22025883],2,2,19,7,[5.8382826],193
[0.21022761],2,2,12,4,[5.9126186],194
[0.20024727],2,2,7,15,[5.786904],195
[0.18960682],2,2,10,18,[5.8812475],196
[0.17976461],7,7,14,12,[5.962427],197
[0.18632863],7,7,9,1,[5.973979],198
[0.1919135],7,7,9,11,[5.960234],199
[0.19690259],7,7,13,18,[5.8393536],200
[0.20006561],7,7,2,5,[5.8411474],201
[0.20136285],7,7,5,11,[5.957773],202
[0.20238292],7,7,15,9,[5.9470325],203
[0.20302543],7,7,9,4,[5.9138813],204
[0.20287815],7,7,9,5,[5.98442],205
[0.2028188],7,7,8,5,[5.960805],206
[0.20248607],7,7,4,6,[5.883944],207
[0.20169723],7,7,9,11,[5.958251],208
[0.20086938],7,7,8,1,[5.9486437],209
[0.19967811],7,7,4,9,[5.899802],210
[0.19825198],7,7,9,7,[5.7914915],211
[0.2015108],7,7,6,12,[5.9468174],212
[0.20459294],7,7,19,12,[5.972187],213
[0.20690493],7,7,1,18,[5.86749],214
[0.20764644],7,7,2,4,[5.7690525],215
[0.20632572],7,7,12,5,[5.967615],216
[0.20525043],7,7,4,16,[5.7977467],217
[0.20306207],7,7,16,9,[5.9066286],218
[0.20049256],7,7,6,8,[5.935074],219
[0.19761945],7,7,3,5,[5.93954],220
[0.19474773],7,7,12,10,[5.959325],221
[0.19188322],7,7,10,12,[5.958762],222
[0.18915217],7,7,17,4,[5.8299947],223
[0.18571445],7,7,8,11,[5.930936],224
[0.18252027],7,7,19,17,[5.969679],225
[0.1788306],7,7,14,2,[5.8729706],226
[0.17524481],7,7,6,9,[5.9572506],227
[0.17173065],4,4,1,12,[5.9512486],228
[0.17485704],4,4,8,1,[5.9425745],229
[0.17651094],4,4,15,12,[5.929432],230
[0.1780226],4,4,8,5,[5.95133],231
[0.17843291],4,4,3,2,[5.8357997],232
[0.17780782],4,4,18,10,[5.8831434],233
[0.17573935],4,4,19,3,[5.945052],234
[0.17367162],4,4,1,16,[5.8886013],235
[0.17077036],4,4,7,9,[5.843112],236
[0.16725129],4,4,1,19,[5.9674263],237
[0.16386254],4,4,4,18,[5.732502],238
[0.16567963],4,4,8,4,[5.7897544],239
[0.17231432],4,4,6,7,[5.822177],240
[0.17703088],4,4,14,6,[5.950617],241
[0.18128553],4,4,5,13,[5.9474382],242
[0.1852984],4,4,7,9,[5.8438587],243
[0.18719757],4,4,2,10,[5.8649025],244
[0.18827216],4,4,4,8,[5.7657623],245
[0.19452436],4,4,12,4,[5.771139],246
[0.20672062],4,4,18,12,[5.8719254],247
[0.21701925],4,4,14,17,[5.964012],248
[0.22536463],4,4,2,9,[5.8792667],249
[0.23275569],4,4,16,8,[5.8818727],250
[0.23685656],4,4,2,16,[5.8132343],251
[0.23866989],4,4,1,9,[5.9655447],252
[0.23929754],4,4,12,9,[5.958312],253
[0.24007875],4,4,17,4,[5.736774],254
[0.24782999],4,4,3,11,[5.932008],255
[0.25453112],4,4,15,11,[5.9401283],256
[0.26043016],4,4,4,19,[5.7321587],257
[0.27469847],4,4,1,19,[5.9709296],258
[0.28704667],4,4,3,19,[5.9571724],259
[0.2973631],4,4,3,11,[5.935979],260
[0.30561504],4,4,3,2,[5.845022],261
[0.3104537],4,4,3,19,[5.956344],262
[0.31297305],4,4,10,5,[5.9787035],263
[0.31447652],4,4,9,14,[5.980261],264
[0.31526092],4,4,6,1,[5.949918],265
[0.31496328],4,4,16,10,[5.9200573],266
[0.31157613],4,4,12,10,[5.955969],267
[0.30945572],4,4,7,8,[5.851941],268
[0.302301],4,4,3,1,[5.926342],269
[0.2965089],4,4,7,10,[5.875456],270
[0.287905],4,4,3,16,[5.8762226],271
[0.27837357],4,4,10,15,[5.95461],272
[0.26982486],4,4,17,15,[5.9501066],273
[0.26026243],4,4,12,9,[5.9527974],274
[0.25250164],4,4,7,4,[5.624406],275
[0.25237226],4,4,13,7,[5.84735],276
[0.2504164],4,4,9,1,[5.95738],277
[0.2480539],4,4,18,12,[5.8940606],278
[0.24498677],4,4,15,7,[5.8322124],279
[0.23961096],4,4,4,12,[5.7184324],280
[0.24330552],4,4,17,14,[5.96744],281
[0.24503613],4,4,4,6,[5.7246685],282
[0.25533772],4,4,4,17,[5.7222157],283
[0.27168325],4,4,4,10,[5.70757],284
[0.2961629],4,4,15,7,[5.819915],285
[0.31563407],4,4,15,11,[5.9462304],286
[0.33388612],4,4,13,5,[5.968848],287
[0.34956747],4,4,6,5,[5.971094],288
[0.36262143],4,4,15,2,[5.899123],289
[0.37384328],4,4,19,16,[5.9376917],290
[0.3807041],4,4,17,11,[5.962294],291
[0.38549525],4,4,10,18,[5.9400134],292
[0.38684303],4,4,15,1,[5.949703],293
[0.38827592],4,4,7,14,[5.838732],294
[0.38350096],4,4,15,10,[5.956494],295
[0.37986344],4,4,10,8,[5.958662],296
[0.37312895],4,4,8,12,[5.9424787],297
[0.36673918],4,4,7,10,[5.815403],298
[0.35459712],4,4,15,9,[5.9588733],299
[0.3453718],4,4,17,13,[5.958682],300
[0.33455336],4,4,7,14,[5.8043275],301
[0.32068667],4,4,3,5,[5.951206],302
[0.30884656],4,4,5,16,[5.9319086],303
[0.29739603],4,4,8,1,[5.943496],304
[0.28540275],4,4,4,18,[5.663876],305
[0.28360856],4,4,6,7,[5.7533293],306
[0.2781223],4,4,4,12,[5.685137],307
[0.28192106],4,4,2,16,[5.8777466],308
[0.28346094],4,4,1,2,[5.9147606],309
[0.28442517],4,4,16,18,[5.891115],310
[0.28261918],4,4,19,12,[5.9622984],311
[0.28125843],4,4,17,3,[5.9412518],312
[0.27885845],4,4,7,4,[5.477559],313
[0.28119296],4,4,12,9,[5.9569397],314
[0.28395241],4,4,3,17,[5.942453],315
[0.28410855],4,4,15,10,[5.9430103],316
[0.2850516],4,4,4,8,[5.6843615],317
[0.29338345],4,4,7,18,[5.7074966],318
[0.2958103],4,4,11,13,[5.9590263],319
[0.29883263],4,4,1,19,[5.9730062],320
[0.30093473],4,4,1,17,[5.958725],321
[0.30046132],4,4,3,2,[5.908781],322
[0.30000654],4,4,16,5,[5.933951],323
[0.29841644],4,4,2,16,[5.8854766],324
[0.2956472],4,4,12,7,[5.7066793],325
[0.2892406],4,4,16,8,[5.9105215],326
[0.28148252],4,4,19,4,[5.7132587],327
[0.28274438],4,4,5,10,[5.9758897],328
[0.2838822],4,4,2,1,[5.9188237],329
[0.28372264],4,4,6,11,[5.9630647],330
[0.28437164],4,4,17,19,[5.9789696],331
[0.28378537],4,4,7,8,[5.7053046],332
[0.27838135],4,4,19,13,[5.97642],333
[0.2772054],7,7,7,10,[5.702589],334
[0.28896788],7,7,14,10,[5.9752216],335
[0.29985446],7,7,1,19,[5.9705567],336
[0.30834407],7,7,5,1,[5.9677444],337
[0.3173975],7,7,17,13,[5.9629545],338
[0.3230172],7,7,1,16,[5.9040027],339
[0.32797414],7,7,1,7,[5.6406593],340
[0.34180567],7,7,4,10,[5.755705],341
[0.34836245],7,7,8,3,[5.9407496],342
[0.35514814],7,7,4,18,[5.74426],343
[0.35462233],7,7,14,17,[5.977832],344
[0.35348615],7,7,15,17,[5.957189],345
[0.3526476],7,7,1,14,[5.961306],346
[0.350805],7,7,19,16,[5.9309273],347
[0.34707603],7,7,5,9,[5.9902534],348
[0.34540084],7,7,9,4,[5.761001],349
[0.33695516],7,7,18,6,[5.948945],350
[0.33033696],7,7,9,8,[5.9697638],351
[0.32228297],7,7,16,14,[5.9246373],352
[0.31479508],7,7,3,6,[5.9509115],353
[0.30787382],7,7,3,9,[5.961728],354
[0.30034134],7,7,6,10,[5.9620943],355
[0.2939211],7,7,9,13,[5.97499],356
[0.28714103],7,7,9,1,[5.9511175],357
[0.28042752],7,7,7,11,[5.700863],358
[0.2817179],7,7,1,6,[5.935914],359
[0.2826184],7,7,6,8,[5.9525976],360
[0.28241408],7,7,9,6,[5.973576],361
[0.28183842],7,7,6,13,[5.9596405],362
[0.2811182],7,7,1,7,[5.662958],363
[0.28579992],7,7,16,2,[5.8730392],364
[0.28980175],7,7,10,2,[5.928759],365
[0.29283372],7,7,4,2,[5.722042],366
[0.28989112],7,7,2,5,[5.943806],367
[0.28906584],7,7,1,10,[5.9145594],368
[0.285571],7,7,13,5,[5.97165],369
[0.28205082],7,7,7,15,[5.686531],370
[0.28589717],7,7,2,1,[5.8778076],371
[0.28756428],7,7,3,2,[5.906535],372
[0.2881948],7,7,11,10,[5.957453],373
[0.28797105],7,7,19,11,[5.9791183],374
[0.28783026],7,7,12,4,[5.772019],375
[0.2842071],7,7,6,7,[5.6869698],376
[0.28781012],7,7,9,15,[5.963645],377
[0.29159108],7,7,5,19,[5.9885817],378
[0.29607975],7,7,4,17,[5.7781215],379
[0.29358116],7,7,15,1,[5.8919888],380
[0.2939351],7,7,16,4,[5.7181807],381
[0.2892512],7,7,17,19,[5.9774017],382
[0.28377104],7,7,18,12,[5.944935],383
[0.27990317],7,7,1,7,[5.630849],384
[0.28054574],7,7,12,14,[5.9719143],385
[0.28266737],7,7,18,7,[5.6807365],386
[0.28969276],7,7,3,14,[5.9607353],387
[0.29571456],7,7,11,14,[5.9782553],388
[0.30206108],7,7,7,1,[5.6034193],389
[0.31149238],7,7,11,15,[5.9595923],390
[0.32301736],7,7,17,14,[5.9775925],391
[0.33046567],7,7,10,5,[5.9722824],392
[0.3379374],7,7,7,11,[5.642777],393
[0.35258892],7,7,7,15,[5.619297],394
[0.37768844],7,7,4,3,[5.7810187],395
[0.39402953],7,7,19,6,[5.9803343],396
[0.40915513],7,7,16,14,[5.9440103],397
[0.42248574],7,7,8,3,[5.9594526],398
[0.43174455],7,7,16,3,[5.925622],399
[0.43864006],7,7,17,15,[5.9690275],400
[0.4449944],7,7,10,18,[5.961257],401
[0.44772053],7,7,8,6,[5.970236],402
[0.45164064],7,7,7,4,[5.3745327],403
[0.45936683],7,7,9,8,[5.983439],404
[0.4655097],7,7,16,14,[5.948963],405
[0.47159383],7,7,13,8,[5.974845],406
[0.47481635],7,7,18,7,[5.5008755],407
[0.48968884],7,7,1,4,[5.778662],408
[0.49429503],7,7,9,13,[5.988595],409
[0.49698642],7,7,18,2,[5.951558],410
[0.4982016],7,7,3,5,[5.9778347],411
[0.49727297],7,7,5,2,[5.9699173],412
[0.4963903],7,7,15,10,[5.9707537],413
[0.49524394],7,7,13,9,[5.988688],414
[0.4905905],7,7,3,19,[5.9782333],415
[0.48777512],7,7,4,18,[5.811242],416
[0.47621554],7,7,4,12,[5.8156557],417
[0.46082172],7,7,16,5,[5.9488516],418
[0.44538414],7,7,12,15,[5.969489],419
[0.43370125],7,7,3,16,[5.920591],420
[0.42010924],7,7,19,3,[5.970573],421
[0.4059637],7,7,11,9,[5.9845724],422
