probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.19605412],19,19,19,12,[5.7469797],1
[0.31476018],19,19,9,4,[5.9126825],2
[0.39937323],19,19,9,3,[5.8566914],3
[0.3990148],19,19,7,1,[5.9277687],4
[0.39968783],19,19,8,9,[5.915083],5
[0.36181256],19,19,10,6,[5.982201],6
[0.3397787],19,19,15,9,[5.846958],7
[0.2995547],19,19,16,14,[5.9727416],8
[0.2594252],19,19,18,15,[5.979763],9
[0.28309646],9,9,16,4,[5.9381113],10
[0.31125608],9,9,5,4,[5.941856],11
[0.33633515],9,9,2,4,[5.9238973],12
[0.35847655],9,9,18,15,[5.974086],13
[0.36333993],9,9,1,5,[5.983128],14
[0.37293234],9,9,15,9,[5.601119],15
[0.41179642],9,9,17,15,[5.9576015],16
[0.42671445],9,9,7,11,[5.921985],17
[0.45733815],9,9,6,2,[5.9745245],18
[0.47044837],9,9,12,8,[5.957919],19
[0.46007857],9,9,18,14,[5.986594],20
[0.44834214],9,9,4,8,[5.8847227],21
[0.45860285],9,9,16,19,[5.9318314],22
[0.41172558],9,9,2,17,[5.9686165],23
[0.3852963],9,9,5,7,[5.9014497],24
[0.3562098],9,9,17,2,[5.9616213],25
[0.34612182],9,9,2,3,[5.9263277],26
[0.3232954],9,9,5,3,[5.936209],27
[0.29270354],9,9,3,17,[5.921796],28
[0.25867993],9,9,9,5,[5.7226806],29
[0.261698],9,9,18,5,[5.9684744],30
[0.24739914],9,9,5,7,[5.853517],31
[0.2616745],9,9,5,10,[5.9679384],32
[0.2533569],9,9,3,17,[5.8875036],33
[0.24325418],9,9,7,15,[5.788497],34
[0.23091096],9,9,19,16,[5.9242887],35
[0.21323776],9,9,1,12,[5.9451866],36
[0.21251102],9,9,5,16,[5.9280434],37
[0.1881251],7,7,10,18,[5.976874],38
[0.18980429],7,7,3,5,[5.8323455],39
[0.19746554],7,7,10,8,[5.981595],40
[0.19584967],7,7,9,13,[5.845373],41
[0.1941352],7,7,9,5,[5.7478333],42
[0.18631889],7,7,19,12,[5.9009767],43
[0.17126036],9,9,3,9,[5.6779203],44
[0.17200913],9,9,4,12,[5.8805847],45
[0.19548006],9,9,16,9,[5.764365],46
[0.22799447],9,9,13,15,[5.949179],47
[0.22533153],9,9,16,4,[5.9056635],48
[0.24422212],9,9,18,2,[5.955508],49
[0.27580586],9,9,14,16,[5.9563255],50
[0.26145086],9,9,17,4,[5.9128366],51
[0.28918862],9,9,9,13,[5.689352],52
[0.3057882],9,9,13,2,[5.9694304],53
[0.34834588],9,9,9,1,[5.628064],54
[0.4035179],9,9,16,8,[5.9510183],55
[0.43399188],9,9,14,8,[5.993222],56
[0.47782692],9,9,14,18,[5.990453],57
[0.5345785],9,9,15,1,[5.974716],58
[0.51120055],9,9,13,11,[6.0044746],59
[0.57050043],9,9,5,16,[5.9118586],60
[0.5397158],9,9,11,18,[5.998082],61
[0.52771634],9,9,4,12,[5.926796],62
[0.55885994],9,9,3,9,[5.3419814],63
[0.5603454],9,9,11,5,[5.9620004],64
[0.56404257],9,9,13,16,[5.9359384],65
[0.56827223],9,9,17,5,[5.948763],66
[0.5774927],9,9,15,19,[5.9600544],67
[0.52559143],9,9,2,16,[5.895703],68
[0.5169021],9,9,3,17,[5.914768],69
[0.50448424],9,9,10,5,[5.941662],70
[0.439461],9,9,12,18,[5.954306],71
[0.39639628],9,9,15,4,[5.911477],72
[0.39376068],9,9,12,15,[5.9255323],73
[0.32103318],9,9,8,16,[5.8264484],74
[0.28519464],9,9,12,16,[5.7549734],75
[0.23701255],16,9,13,7,[5.959091],76
[0.24921177],16,16,7,12,[5.896508],77
[0.2765603],16,16,13,8,[5.988699],78
[0.27922156],16,16,19,1,[5.9536624],79
[0.3029414],16,16,18,2,[5.9535427],80
[0.32597664],16,16,13,16,[5.660344],81
[0.35357305],16,16,15,11,[5.959221],82
[0.3856819],16,16,7,2,[5.9352684],83
[0.40507114],16,16,4,7,[5.90055],84
[0.42117736],16,16,15,17,[5.94956],85
[0.4358722],16,16,14,3,[5.9351234],86
[0.41949895],16,16,5,10,[5.938472],87
[0.41276926],16,16,18,11,[5.985381],88
[0.41212612],16,16,10,16,[5.5688906],89
[0.43555346],16,16,12,6,[5.9042177],90
[0.4296776],16,16,14,19,[5.9578857],91
[0.43163416],16,16,6,5,[5.9414454],92
[0.4443505],16,16,14,12,[5.8954787],93
[0.42066392],16,16,1,14,[5.993738],94
[0.42496115],16,16,16,9,[5.4985437],95
[0.43478477],16,16,1,9,[5.9428215],96
[0.44900382],16,16,12,1,[5.8687634],97
[0.45226756],16,16,3,1,[5.9480505],98
[0.4259633],16,16,15,17,[5.947625],99
[0.43702334],16,16,18,3,[5.9377227],100
[0.42111334],16,16,19,12,[5.7845],101
[0.36729208],16,16,18,1,[5.9790754],102
[0.33614144],16,16,16,5,[5.561907],103
[0.3434856],16,16,10,5,[5.9275904],104
[0.3350246],16,16,17,2,[5.964343],105
[0.33511022],16,16,18,12,[5.721598],106
[0.32155302],16,16,7,13,[5.9683666],107
[0.30684823],12,12,4,5,[5.885585],108
[0.3246819],12,12,14,2,[5.972029],109
[0.33778584],12,12,14,2,[5.9713736],110
[0.3250209],12,12,11,5,[5.8899913],111
[0.34992138],12,12,7,2,[5.944442],112
[0.32196626],12,12,1,18,[5.968549],113
[0.33149573],12,12,19,12,[5.6075554],114
[0.34577528],12,12,3,14,[5.945425],115
[0.35338846],12,12,5,7,[5.812972],116
[0.37557724],12,12,10,8,[5.994661],117
