probability,move,scenario_no,loss,move_no
[0.10232247],12,4,[2.9505212],1
[0.10209476],12,15,[2.9400322],2
[0.09213568],12,1,[2.9401088],3
[0.1059243],4,18,[2.9638515],4
[0.12229531],4,4,[2.87517],5
[0.15088895],4,8,[2.9636633],6
[0.17350525],4,15,[2.8880816],7
[0.19454703],4,15,[2.8750072],8
[0.21088222],4,9,[2.9613676],9
[0.23064816],4,4,[2.7679691],10
[0.2577317],4,12,[2.961603],11
[0.2926914],4,8,[2.957504],12
[0.30720353],4,16,[2.9671319],13
[0.33644533],4,11,[2.9893472],14
[0.35875776],4,6,[2.9723392],15
[0.3606893],4,7,[2.9914365],16
[0.37549794],4,14,[2.9900188],17
[0.38018525],4,19,[2.9951015],18
[0.4042221],4,4,[2.597535],19
[0.42846304],4,12,[2.9669268],20
[0.4495005],4,7,[2.9937108],21
[0.5058755],4,4,[2.4983528],22
[0.54207087],4,1,[2.952934],23
[0.5794734],4,18,[2.9761844],24
[0.6156251],4,12,[2.9752975],25
[0.63713366],4,2,[3.002011],26
[0.6639759],4,8,[2.9770694],27
[0.674838],4,12,[2.9762847],28
[0.67697364],4,11,[3.0059636],29
[0.7061052],4,13,[3.008574],30
[0.7097352],4,4,[2.3023136],31
[0.70139],4,10,[3.0077808],32
[0.71713763],4,7,[3.0063243],33
[0.74375916],4,18,[2.9909937],34
[0.74637556],4,10,[3.0107121],35
[0.7672782],4,6,[3.0031462],36
[0.7654781],4,18,[2.9919722],37
[0.758563],4,17,[3.0138152],38
[0.75717723],4,10,[3.0113025],39
[0.76708543],4,2,[3.0112467],40
[0.7314694],4,5,[3.0118432],41
[0.7575245],4,1,[2.987271],42
[0.7300507],4,10,[3.0091891],43
[0.73227865],4,11,[3.0093236],44
[0.7216812],4,6,[2.997455],45
[0.69768876],4,12,[2.9555533],46
[0.66896635],4,11,[3.0048606],47
[0.6375422],4,6,[2.987864],48
[0.5622947],4,7,[2.9956672],49
[0.502684],4,16,[2.9851642],50
[0.5230299],4,8,[2.9550378],51
[0.46610883],4,1,[2.9379997],52
[0.40362382],4,9,[2.9753847],53
[0.3671674],4,11,[2.9864054],54
[0.33458441],4,12,[2.8651857],55
[0.2999307],4,12,[2.8491385],56
[0.27533257],4,8,[2.9164712],57
[0.23592347],4,17,[2.9972064],58
[0.22640035],4,14,[2.9889076],59
[0.23725602],12,6,[2.9586313],60
[0.25474116],12,11,[2.9760566],61
[0.26491612],12,15,[2.9013407],62
[0.27331153],12,15,[2.898915],63
[0.27985287],12,1,[2.9029896],64
[0.27520418],12,14,[2.9873562],65
[0.27423358],12,12,[2.7251856],66
[0.29419217],12,12,[2.7054718],67
[0.3330478],12,3,[2.9928272],68
[0.36240757],12,14,[2.9882715],69
[0.4005043],12,4,[2.905881],70
[0.41746658],12,16,[2.9838586],71
[0.4404728],12,2,[2.9951248],72
[0.45863768],12,2,[2.9956415],73
[0.4803234],12,13,[2.9979825],74
[0.4854709],12,14,[2.9898186],75
[0.49602956],12,6,[2.9702895],76
[0.49754956],12,19,[3.0003188],77
[0.5018506],12,18,[2.9817145],78
[0.5056142],12,2,[2.9956481],79
[0.5023933],12,9,[2.985368],80
[0.49831548],12,16,[2.9859426],81
[0.49537355],12,14,[2.9838674],82
[0.48608625],12,18,[2.9791164],83
[0.48039028],12,11,[2.9805896],84
[0.46884975],12,14,[2.9769137],85
[0.4543127],12,7,[2.9959793],86
[0.44405225],12,14,[2.9691207],87
[0.42757636],12,15,[2.8903801],88
[0.40833607],12,16,[2.9765236],89
[0.3976338],12,4,[2.9187005],90
[0.370489],12,17,[2.9989765],91
[0.35565755],12,12,[2.6448097],92
[0.36175838],12,10,[2.9950898],93
[0.36738157],12,9,[2.976128],94
[0.37329876],12,10,[2.9951866],95
[0.38058376],12,12,[2.6203594],96
[0.39988917],12,18,[2.9688148],97
[0.42334986],12,17,[3.0000684],98
[0.4500137],12,4,[2.91605],99
[0.4543205],12,15,[2.8862634],100
[0.46204102],12,5,[3.0014575],101
[0.47128043],12,2,[2.9920988],102
[0.4706102],12,10,[2.9969687],103
[0.4767577],12,11,[2.9817266],104
[0.47543174],12,2,[2.9915574],105
[0.47743237],12,4,[2.905539],106
[0.46705517],12,2,[2.9898314],107
[0.45593977],12,18,[2.9663684],108
[0.4555379],12,3,[2.9978092],109
[0.43564552],12,7,[2.9956346],110
[0.43838874],12,13,[2.9977608],111
[0.41888812],12,14,[2.959418],112
[0.41836283],12,13,[2.997021],113
[0.39704219],12,18,[2.9526825],114
[0.38631684],12,5,[2.9995987],115
[0.3754671],12,10,[2.9911962],116
[0.37472188],12,13,[2.994964],117
[0.3611164],12,3,[2.9943712],118
[0.34284705],12,7,[2.9914808],119
[0.33496225],12,5,[2.9982684],120
[0.3243285],12,19,[2.996774],121
[0.31600505],12,7,[2.9893234],122
[0.30924326],12,5,[2.997428],123
[0.30724865],12,3,[2.9914224],124
[0.29622102],12,2,[2.968537],125
[0.28596523],12,5,[2.9963756],126
[0.27774236],12,15,[2.8543468],127
[0.26864123],12,5,[2.99548],128
[0.25923532],12,16,[2.9727974],129
[0.25319815],12,11,[2.9701953],130
[0.24351987],12,6,[2.9696202],131
[0.23396163],12,14,[2.9356446],132
[0.22599585],12,6,[2.9673994],133
[0.21522875],12,15,[2.8175125],134
[0.20459764],12,16,[2.9682713],135
[0.20275883],15,11,[2.9620247],136
[0.21321657],15,9,[2.973703],137
[0.22237675],15,2,[2.9482224],138
[0.2261639],15,3,[2.983896],139
[0.23402353],15,11,[2.9519536],140
[0.22933614],15,13,[2.987169],141
[0.23591033],15,8,[2.9733863],142
[0.2437088],15,5,[2.9910257],143
[0.24340487],15,5,[2.9904013],144
[0.23896646],15,11,[2.9287972],145
[0.23274231],15,18,[2.9400787],146
[0.2309151],15,9,[2.970778],147
[0.22407067],15,19,[2.9929905],148
[0.21989325],15,10,[2.9831398],149
[0.21331598],15,9,[2.9669905],150
[0.20782557],15,2,[2.928403],151
[0.19596076],15,13,[2.982103],152
[0.18661669],15,4,[2.9210103],153
[0.19090693],15,2,[2.9144464],154
[0.17736991],15,13,[2.979169],155
[0.17975684],15,6,[2.9582539],156
[0.17370182],15,2,[2.8876143],157
[0.16718084],15,14,[2.9360387],158
[0.16517812],15,5,[2.9819252],159
