probability,move,scenario_no,loss,move_no
[0.23075394],2,8,[2.9618647],1
[0.23084414],2,3,[2.9707403],2
[0.21491756],2,19,[2.950784],3
[0.21175092],2,1,[2.952433],4
[0.19231574],2,1,[2.9428904],5
[0.16888326],2,10,[2.9687872],6
[0.15016164],2,11,[2.9136584],7
[0.13825381],2,13,[2.9802144],8
[0.12188556],2,7,[2.940119],9
[0.12158002],1,3,[2.9295058],10
[0.12928417],11,16,[2.9812627],11
[0.1358871],1,14,[2.987089],12
[0.14235319],1,18,[2.985114],13
[0.14655484],11,16,[2.9768398],14
[0.14970377],1,8,[2.8980238],15
[0.14863315],1,4,[2.9882474],16
[0.15046962],11,1,[2.8500109],17
[0.15941106],1,2,[2.9462123],18
[0.17142396],1,14,[2.9849463],19
[0.18441284],1,19,[2.916458],20
[0.18783848],1,12,[2.9777393],21
[0.19357206],1,12,[2.9770164],22
[0.19830595],1,12,[2.9753592],23
[0.20557657],1,10,[2.9538448],24
[0.20805039],1,8,[2.8641143],25
[0.2064895],1,5,[2.9910407],26
[0.2044342],1,5,[2.990882],27
[0.19780941],1,6,[2.9932232],28
[0.19870675],1,8,[2.8244255],29
[0.19195653],1,18,[2.983789],30
[0.19828238],8,7,[2.928656],31
[0.22307076],8,13,[2.979576],32
[0.23212047],8,16,[2.973143],33
[0.2510009],8,13,[2.9790974],34
[0.26679644],8,5,[2.9894216],35
[0.26790428],8,11,[2.9382033],36
[0.2749662],8,4,[2.98881],37
[0.27003685],8,16,[2.9678233],38
[0.27551603],8,6,[2.9934564],39
[0.2958427],8,8,[2.7035558],40
[0.3225657],8,8,[2.677205],41
[0.33348274],8,7,[2.9211974],42
[0.38787398],8,4,[2.9893956],43
[0.43278039],8,18,[2.9882832],44
[0.4497478],8,10,[2.96903],45
[0.47692403],8,6,[2.998228],46
[0.5010139],8,4,[2.9920297],47
[0.5119503],8,15,[3.0009017],48
[0.5158756],8,2,[2.971652],49
[0.53022087],8,10,[2.9731774],50
[0.53590065],8,11,[2.9606776],51
[0.53654045],8,3,[2.970823],52
[0.5138338],8,19,[2.9560385],53
[0.5011244],8,2,[2.9670932],54
[0.49657527],8,15,[3.0001426],55
[0.48058304],8,15,[2.9994514],56
[0.45316926],8,19,[2.946201],57
[0.46980247],8,18,[2.986944],58
[0.42643982],8,9,[2.9981847],59
[0.40880474],8,3,[2.9542775],60
[0.3907809],8,1,[2.942767],61
[0.3498291],8,7,[2.9047923],62
[0.3394146],8,3,[2.942006],63
[0.31763396],8,14,[2.9885747],64
[0.31305623],8,17,[2.9971428],65
[0.26992562],8,7,[2.8824825],66
[0.27615833],8,18,[2.9729817],67
[0.2437103],8,14,[2.98601],68
[0.22574402],8,3,[2.9120405],69
[0.22669306],8,18,[2.9673507],70
[0.2003335],8,14,[2.983692],71
[0.18922926],8,9,[2.9925911],72
[0.20511183],8,8,[2.793449],73
[0.18149666],8,9,[2.9921703],74
[0.19368392],8,17,[2.9951737],75
[0.21943463],8,8,[2.7793083],76
[0.200807],8,4,[2.9741633],77
[0.21233852],8,14,[2.9789286],78
[0.2265474],8,6,[2.9908414],79
[0.2341563],8,14,[2.9768596],80
[0.2358505],8,7,[2.8335083],81
[0.26070842],8,5,[2.9896855],82
[0.25286403],8,2,[2.952641],83
[0.26250228],8,13,[2.9826305],84
[0.2578728],8,12,[2.9815435],85
[0.26770833],8,1,[2.9460683],86
[0.26029196],8,2,[2.9504728],87
[0.2616574],8,3,[2.891833],88
[0.25531948],8,19,[2.9366367],89
[0.24931067],8,15,[2.9933271],90
[0.27249402],8,17,[2.9962587],91
[0.24313386],8,3,[2.8718672],92
[0.22870092],8,7,[2.8041973],93
[0.23299703],8,6,[2.990974],94
[0.2189972],8,19,[2.9307208],95
[0.21295038],7,14,[2.9663699],96
[0.21739817],7,2,[2.937481],97
[0.21948631],7,16,[2.9784744],98
[0.21266095],7,13,[2.9838586],99
[0.20939115],7,3,[2.811808],100
[0.21512826],7,17,[2.995823],101
[0.20903096],3,5,[2.9909725],102
[0.22735925],3,16,[2.977945],103
[0.24168397],3,5,[2.9908917],104
[0.25647053],3,16,[2.976573],105
[0.25907242],3,19,[2.9180017],106
[0.25905836],3,8,[2.828813],107
[0.27482426],3,9,[2.9941645],108
[0.2822965],3,15,[2.9951525],109
[0.28043595],3,15,[2.9949558],110
[0.26818728],3,2,[2.9200413],111
[0.265585],3,16,[2.9691308],112
[0.2554023],3,7,[2.839788],113
[0.24596743],3,5,[2.9880762],114
[0.23754199],8,8,[2.762067],115
[0.20620456],3,17,[2.9953198],116
[0.20434716],3,11,[2.9710195],117
[0.19686596],8,1,[2.9610617],118
[0.19888306],3,12,[2.98646],119
[0.21402979],8,2,[2.90413],120
[0.21961749],8,15,[2.992377],121
[0.24918588],8,10,[2.9819634],122
[0.21948034],8,7,[2.8081348],123
[0.22983599],8,12,[2.9862344],124
[0.31362712],8,17,[2.9966943],125
[0.24808834],8,4,[2.9884527],126
[0.22429918],7,16,[2.9658527],127
[0.228565],8,3,[2.8710246],128
[0.2259763],8,13,[2.9858518],129
[0.23107333],7,9,[2.993802],130
[0.35892284],8,8,[2.6421237],131
[0.2272345],8,6,[2.9937077],132
[0.2508432],8,5,[2.988348],133
[0.24750532],7,7,[2.75196],134
[0.2182163],8,3,[2.85645],135
[0.3264886],8,17,[2.9968166],136
[0.2647099],7,1,[2.9581661],137
[0.2358778],7,3,[2.8349383],138
[0.2672039],7,14,[2.9810796],139
[0.2399706],7,6,[2.9939182],140
[0.2882101],8,18,[2.989343],141
[0.25464752],7,5,[2.987314],142
[0.26562503],7,16,[2.9551208],143
[0.26131612],7,1,[2.9581916],144
[0.23910964],7,2,[2.9232223],145
[0.2433324],3,9,[2.994372],146
[0.26259014],3,6,[2.9929],147
[0.24466342],3,19,[2.9464953],148
[0.2765732],3,13,[2.98438],149
[0.2595008],3,5,[2.9824238],150
[0.24751477],3,7,[2.776136],151
[0.23903681],3,18,[2.9860494],152
[0.2515159],7,7,[2.7481093],153
[0.2497001],7,4,[2.9882083],154
[0.30155337],7,17,[2.9954154],155
[0.32791573],7,17,[2.9957998],156
[0.32501385],7,15,[2.9951973],157
[0.3272761],7,6,[2.9916406],158
[0.38716063],7,17,[2.9963639],159
[0.39062294],7,11,[2.9752238],160
[0.4089329],7,16,[2.9531171],161
[0.4125497],7,1,[2.9517832],162
[0.41848186],7,17,[2.9954534],163
[0.43347612],7,7,[2.5686164],164
[0.4233742],7,18,[2.986912],165
[0.4249998],7,3,[2.8696356],166
[0.44694495],7,6,[2.992542],167
[0.49065468],7,17,[2.9962819],168
