probability,move,scenario_no,loss,move_no
[0.10352314],10,12,[2.9711719],1
[0.10524347],10,6,[2.9115722],2
[0.11250031],6,12,[2.9445517],3
[0.14023468],6,9,[2.9575315],4
[0.15894],6,17,[2.9403589],5
[0.18447898],6,2,[2.9621105],6
[0.19914933],6,18,[2.9450016],7
[0.20422521],6,3,[2.9602096],8
[0.20940202],6,18,[2.9308608],9
[0.21200521],6,13,[2.9712117],10
[0.20324537],6,6,[2.7949522],11
[0.21582197],6,15,[2.9772696],12
[0.24303901],6,13,[2.9670315],13
[0.24606763],6,3,[2.949697],14
[0.26069236],6,5,[2.9684927],15
[0.2695151],6,7,[2.9937983],16
[0.27557006],6,7,[2.9936614],17
[0.26498395],6,12,[2.8790152],18
[0.28149197],6,2,[2.9422603],19
[0.2471858],6,11,[2.9858916],20
[0.26983738],6,19,[2.9923782],21
[0.24288552],6,12,[2.8409977],22
[0.25467739],6,19,[2.9916697],23
[0.24279517],6,16,[2.9891386],24
[0.21922342],6,3,[2.927936],25
[0.22472562],6,5,[2.965138],26
[0.21661553],6,13,[2.9442165],27
[0.21530302],12,16,[2.9869108],28
[0.23745027],12,1,[2.9949005],29
[0.26194227],12,2,[2.917041],30
[0.23358333],12,13,[2.9277275],31
[0.24977034],12,19,[2.987405],32
[0.2254521],12,15,[2.9789112],33
[0.22044186],12,14,[2.9866192],34
[0.24885933],12,18,[2.9239683],35
[0.21432227],12,4,[2.9937668],36
[0.20754252],12,6,[2.8583393],37
[0.19753142],12,14,[2.9847138],38
[0.2348989],12,3,[2.8956892],39
[0.20372488],12,17,[2.9507458],40
[0.18306623],12,18,[2.9021301],41
[0.16182216],12,13,[2.8811667],42
[0.1687068],6,5,[2.9566],43
[0.16740534],6,14,[2.9785688],44
[0.15210646],12,3,[2.8636956],45
[0.17299132],6,18,[2.864348],46
[0.16867386],6,10,[2.9876018],47
[0.17340672],6,16,[2.9856203],48
[0.17376962],18,10,[2.987093],49
[0.1971802],18,15,[2.9709244],50
[0.20555094],18,19,[2.9814992],51
[0.17330681],18,4,[2.9930696],52
[0.23596413],18,9,[2.9729679],53
[0.19111277],18,11,[2.9880917],54
[0.24339752],18,6,[2.8369682],55
[0.21277238],18,7,[2.9914253],56
[0.23837264],18,6,[2.8099682],57
[0.22932616],18,8,[2.9963362],58
[0.23525634],6,15,[2.9583576],59
[0.2177631],6,11,[2.9830797],60
[0.26475507],6,5,[2.9493115],61
[0.27224588],6,19,[2.9773638],62
[0.27993083],6,11,[2.9789436],63
[0.2793671],6,13,[2.9043467],64
[0.29041752],6,14,[2.9703624],65
[0.32144916],6,10,[2.9819686],66
[0.28359294],6,4,[2.9920413],67
[0.31048092],6,5,[2.9332507],68
[0.3151959],6,8,[2.9965065],69
[0.31154308],6,18,[2.8842828],70
[0.30380785],6,9,[2.971798],71
[0.2506394],6,11,[2.965497],72
[0.24499892],6,12,[2.948626],73
[0.23637709],6,17,[2.9697046],74
[0.24733421],6,16,[2.9857812],75
[0.19762747],6,3,[2.9191685],76
[0.1812337],6,3,[2.910492],77
[0.18414243],6,5,[2.8804696],78
[0.1575185],13,14,[2.9490905],79
[0.15401623],6,19,[2.965579],80
[0.17081182],6,15,[2.9593787],81
[0.14876373],3,12,[2.9324093],82
[0.13452968],18,19,[2.9631145],83
[0.14039364],5,10,[2.974161],84
[0.16602373],13,13,[2.8321085],85
[0.14580813],3,17,[2.963803],86
[0.18920623],3,11,[2.9688296],87
[0.13075507],3,18,[2.883976],88
[0.14954798],5,6,[2.8753054],89
[0.27959868],13,13,[2.7195387],90
[0.17795038],13,10,[2.9732578],91
[0.17259967],13,2,[2.964445],92
[0.21501973],13,19,[2.9583647],93
[0.2705056],13,7,[2.995007],94
[0.22333069],13,9,[2.9701943],95
[0.4697661],13,14,[2.9608524],96
[0.38327855],13,1,[2.9987862],97
[0.32984722],13,7,[2.9961052],98
[0.20268516],13,16,[2.9878519],99
[0.5102819],13,4,[2.9977822],100
[0.29053423],13,10,[2.9687338],101
[0.5086394],13,14,[2.9525719],102
[0.40816477],13,3,[2.8966806],103
[0.15290774],13,2,[2.963494],104
[0.41454986],13,4,[2.993518],105
[0.16688539],18,9,[2.963075],106
[0.14123903],18,2,[2.9556882],107
[0.13419124],13,7,[2.9918032],108
[0.1441077],3,11,[2.948875],109
[0.12934276],18,7,[2.9907875],110
[0.14927989],18,16,[2.9798505],111
[0.146415],18,17,[2.9563377],112
[0.12869014],3,1,[2.9907315],113
[0.14535296],6,6,[2.8524587],114
[0.13922434],18,19,[2.9232235],115
[0.13471033],6,8,[2.9928336],116
[0.11555181],6,11,[2.9054782],117
[0.1608784],3,3,[2.8369298],118
[0.16259018],6,8,[2.9933944],119
[0.22260156],3,3,[2.7757123],120
[0.16220576],3,4,[2.9875724],121
[0.15317547],13,14,[2.8827605],122
[0.22066785],6,6,[2.7778485],123
[0.5015207],3,3,[2.5022266],124
[0.25574413],3,19,[2.9407363],125
[0.41948998],3,8,[2.9998562],126
[0.5736463],3,2,[2.954994],127
[0.6621635],3,11,[2.979928],128
[0.3534977],3,16,[2.9916003],129
[0.3425718],6,6,[2.6580267],130
[0.35082918],6,16,[2.99298],131
[0.52902716],3,13,[2.905435],132
[0.3420415],6,5,[2.922167],133
[0.3816167],6,5,[2.9121075],134
[0.59105605],6,16,[3.000709],135
[0.26337862],6,14,[2.81824],136
[0.5328796],6,2,[2.964448],137
[0.60355693],6,6,[2.4038985],138
[0.28762868],14,13,[2.8155713],139
[0.2476031],14,4,[2.9925122],140
[0.28258836],14,13,[2.7317653],141
[0.27776647],14,14,[2.722471],142
[0.6487232],6,16,[3.0037427],143
[0.25242576],14,1,[2.9986446],144
[0.46981084],6,2,[2.9398715],145
[0.29928306],13,19,[2.9748704],146
[0.3861641],3,3,[2.616977],147
[0.377162],13,5,[2.9719975],148
[0.2935293],13,19,[2.9766095],149
[0.49471077],3,1,[3.003321],150
[0.6011996],3,8,[3.0068831],151
[0.43782118],13,14,[2.798123],152
[0.38653255],13,14,[2.783866],153
[0.703945],3,7,[3.0110917],154
[0.7213223],3,13,[2.9195151],155
[0.6495196],3,17,[3.0013914],156
[0.7930101],3,12,[3.010061],157
[0.688413],6,6,[2.322638],158
[0.5637253],3,11,[2.992394],159
[0.46346495],14,4,[2.9997382],160
[0.50561523],6,10,[3.000419],161
[0.36271214],6,5,[2.9321585],162
[0.6500968],6,10,[3.006102],163
[0.6517806],6,19,[2.9538863],164
[0.6278528],6,19,[2.9391203],165
[0.49344468],6,5,[2.912769],166
[0.8021457],6,16,[3.013226],167
[0.6281983],14,14,[2.3805966],168
[0.5916641],14,13,[2.8014417],169
[0.571378],6,15,[2.9999678],170
[0.26756757],6,19,[2.7346895],171
[0.2876627],6,10,[2.9916728],172
[0.27304748],3,12,[2.98049],173
[0.6862855],14,14,[2.3249488],174
[0.21413523],3,12,[2.9790483],175
[0.33160946],19,7,[2.9982133],176
[0.20150548],19,12,[2.9780262],177
[0.37905625],19,2,[2.9508154],178
[0.3913298],19,17,[2.992614],179
[0.60673594],14,1,[3.006452],180
[0.20873094],19,12,[2.9749365],181
[0.31605268],19,10,[2.991913],182
[0.28867775],19,7,[2.9984941],183
[0.4740549],19,19,[2.5291975],184
[0.60913235],19,18,[2.962834],185
[0.51217616],19,7,[3.002276],186
[0.8074488],14,14,[2.209952],187
[0.73826784],14,13,[2.8967836],188
[0.7213256],19,9,[3.0076237],189
[0.64903486],19,7,[3.0076058],190
[0.8068634],14,14,[2.2104971],191
[0.7405253],19,9,[3.008748],192
[0.5317051],19,1,[3.0041234],193
[0.7515647],19,19,[2.262624],194
[0.45054185],19,1,[3.00223],195
[0.915856],14,14,[2.1086502],196
[0.9250078],14,14,[2.1001627],197
[0.9035996],14,4,[3.0230892],198
[0.59702784],19,6,[2.8159418],199
[0.47361326],19,7,[3.0023015],200
[0.7158802],19,18,[2.9759486],201
[0.91704255],14,5,[3.0121381],202
[0.3899252],19,17,[2.9933152],203
[0.6244241],6,6,[2.384325],204
[0.5174669],19,9,[2.9990888],205
[0.414223],19,9,[2.9972184],206
[0.5042224],6,18,[2.971705],207
[0.9414339],14,4,[3.0261476],208
[0.5387048],6,10,[3.0038314],209
[0.7440614],6,2,[2.9891744],210
[0.78936046],6,15,[3.0149355],211
[0.7357272],6,9,[3.0094287],212
[0.7300348],6,9,[3.0089352],213
[0.6284037],6,17,[3.002607],214
[0.45824298],14,10,[3.003496],215
[0.40745774],6,17,[2.9964745],216
[0.6003563],14,10,[3.0058956],217
[0.490601],3,3,[2.513672],218
[0.8829186],14,4,[3.0217454],219
[0.55000424],14,1,[3.00516],220
