probability,move,scenario_no,loss,move_no
[0.13140368],13,18,[2.8946164],1
[0.14947766],18,8,[2.9657507],2
[0.18721168],18,5,[2.9539173],3
[0.21839568],18,7,[2.9575222],4
[0.2446959],18,13,[2.9086418],5
[0.25564846],18,11,[2.9771488],6
[0.26229286],18,18,[2.7363539],7
[0.29626647],18,7,[2.9429047],8
[0.32858998],18,9,[2.975887],9
[0.35408166],18,15,[2.976591],10
[0.37551123],18,17,[2.98148],11
[0.39265186],18,6,[2.980688],12
[0.40368482],18,9,[2.9753518],13
[0.41205236],18,6,[2.9799225],14
[0.41555974],18,10,[2.9863596],15
[0.41629145],18,16,[2.9804153],16
[0.4139145],18,14,[2.9924808],17
[0.40898284],18,7,[2.913542],18
[0.40142635],18,10,[2.983657],19
[0.39149156],18,4,[2.9857132],20
[0.37889114],18,2,[2.985394],21
[0.36591396],18,12,[2.978305],22
[0.3538674],18,8,[2.9540823],23
[0.33647692],18,17,[2.9730945],24
[0.3233018],18,18,[2.67654],25
[0.33472973],18,7,[2.8628454],26
[0.34357044],18,5,[2.946819],27
[0.35228696],18,19,[2.994349],28
[0.35403055],18,11,[2.9783142],29
[0.35616937],18,2,[2.9832265],30
[0.35559446],18,6,[2.967223],31
[0.35237598],18,16,[2.9766922],32
[0.3533348],18,18,[2.6472373],33
[0.37140498],18,16,[2.975785],34
[0.3920632],18,10,[2.9788792],35
[0.4076361],18,1,[2.9977846],36
[0.4253211],18,9,[2.9721456],37
[0.4330415],18,16,[2.9717035],38
[0.4400787],18,1,[2.9985235],39
[0.44699106],18,3,[2.9987779],40
[0.45465085],18,8,[2.9644103],41
[0.4560902],18,18,[2.546574],42
[0.48179007],18,19,[2.9982057],43
[0.50100416],18,5,[2.959577],44
[0.52145076],18,1,[3.00055],45
[0.54295635],18,8,[2.9679518],46
[0.54876626],18,2,[2.9907424],47
[0.55658245],18,13,[2.9751172],48
[0.55971503],18,4,[2.996357],49
[0.560661],18,17,[2.9841554],50
[0.5580294],18,9,[2.977616],51
[0.5486789],18,16,[2.961095],52
[0.53777575],18,15,[2.9931965],53
[0.5271353],18,15,[2.9923592],54
[0.52118576],18,19,[2.9987147],55
[0.5091954],18,19,[2.9979274],56
[0.49430388],18,13,[2.9702234],57
[0.48010698],18,13,[2.9680476],58
[0.4634973],18,3,[2.9981666],59
[0.44826567],18,6,[2.9745712],60
[0.4326353],18,10,[2.9788852],61
[0.41679916],18,10,[2.9770696],62
[0.39915416],18,15,[2.9815364],63
[0.3869429],18,4,[2.9865174],64
[0.37204504],18,4,[2.9852438],65
[0.35662866],18,10,[2.9663348],66
[0.34569982],18,17,[2.9635315],67
[0.3290021],18,2,[2.9729176],68
[0.3149747],18,12,[2.9854555],69
[0.30020243],18,7,[2.920441],70
[0.29205215],18,19,[2.9836855],71
[0.2759696],18,2,[2.9648345],72
[0.26324078],18,13,[2.931784],73
[0.25132436],18,4,[2.9719927],74
[0.23916063],18,2,[2.954548],75
[0.22615856],18,14,[2.9903052],76
[0.21714854],18,4,[2.9653428],77
[0.20633005],18,16,[2.926575],78
[0.1999251],18,17,[2.9482615],79
[0.19286175],18,8,[2.9322703],80
[0.18113093],18,2,[2.9256685],81
[0.1777489],18,18,[2.8201149],82
[0.17217101],18,5,[2.9479742],83
[0.17319539],18,11,[2.9756513],84
[0.1726374],18,16,[2.9146805],85
[0.17236438],18,6,[2.9651294],86
[0.17737691],18,18,[2.8205593],87
[0.17881471],18,6,[2.964736],88
[0.18445534],18,14,[2.9889107],89
[0.19091596],18,1,[2.9905868],90
[0.19873652],18,17,[2.9371836],91
[0.1995177],18,15,[2.9749677],92
[0.206781],18,17,[2.928988],93
[0.2104778],18,9,[2.969373],94
[0.20796992],18,7,[2.9301453],95
[0.20951247],18,2,[2.90239],96
[0.21190432],18,19,[2.9828925],97
[0.2055626],18,16,[2.8919563],98
[0.20302099],18,12,[2.9865882],99
[0.19930926],18,7,[2.928658],100
[0.20388891],18,18,[2.7944648],101
[0.20659317],18,17,[2.8848934],102
[0.2163983],18,18,[2.7821314],103
[0.22282085],18,7,[2.9242969],104
[0.23719816],18,3,[2.9944448],105
[0.24781251],18,14,[2.9900672],106
[0.25972757],18,1,[2.992901],107
[0.2693418],18,13,[2.9597208],108
[0.2758954],18,7,[2.914313],109
[0.28278035],18,6,[2.9698002],110
[0.2871834],18,13,[2.9593177],111
[0.2884101],18,14,[2.990586],112
[0.29810286],18,19,[2.9881701],113
[0.2925564],18,6,[2.9674253],114
[0.29199862],18,11,[2.9865377],115
[0.2908815],18,2,[2.9286299],116
[0.29384074],18,17,[2.8569808],117
[0.28047577],18,6,[2.9605846],118
[0.27283433],18,2,[2.9215362],119
[0.26378638],18,16,[2.9118938],120
[0.2610697],18,9,[2.9786093],121
[0.25179967],18,9,[2.9782677],122
[0.23613797],18,2,[2.8995166],123
[0.22631092],18,16,[2.906216],124
[0.21649444],18,13,[2.9514985],125
[0.20652513],18,2,[2.868549],126
[0.19583514],18,12,[2.9901967],127
[0.18629342],18,4,[2.9849117],128
[0.18158141],18,9,[2.9756117],129
[0.19659695],2,8,[2.9739327],130
[0.21503638],2,4,[2.984776],131
[0.22559957],2,9,[2.9737053],132
[0.23156789],2,18,[2.8425076],133
[0.2417673],2,9,[2.9708195],134
[0.24440026],2,9,[2.968321],135
[0.24988085],2,15,[2.9875321],136
[0.24854873],2,1,[2.9940114],137
[0.24772774],2,1,[2.993815],138
[0.24740355],2,7,[2.907442],139
[0.23877615],2,9,[2.949845],140
[0.23695013],2,1,[2.9927208],141
[0.23098573],2,4,[2.9805138],142
[0.22513273],2,4,[2.9795876],143
[0.22069535],2,7,[2.8955438],144
[0.21323177],2,14,[2.9875326],145
[0.2064225],2,6,[2.9505866],146
[0.19501185],2,9,[2.9113402],147
[0.1902479],2,7,[2.8739963],148
[0.17940454],2,13,[2.9472342],149
[0.16746354],2,9,[2.8834338],150
[0.16024718],2,7,[2.847459],151
[0.16144472],7,19,[2.9887369],152
[0.17312193],7,8,[2.971571],153
[0.18950422],7,3,[2.9959002],154
[0.20266609],7,14,[2.9864566],155
[0.21199948],7,6,[2.9425914],156
[0.22050413],7,15,[2.9882076],157
[0.22697215],7,6,[2.9370933],158
[0.22730213],7,17,[2.9518087],159
[0.23512128],7,5,[2.9827929],160
[0.2348968],7,3,[2.9965248],161
[0.22687739],7,18,[2.897033],162
[0.23939662],7,7,[2.759863],163
[0.25434318],7,13,[2.9495704],164
[0.27137598],7,15,[2.9884279],165
[0.28428507],7,13,[2.9473963],166
[0.29493994],7,1,[2.9931347],167
[0.30776694],7,14,[2.9855886],168
[0.30523768],7,8,[2.9755006],169
[0.321379],7,16,[2.9575105],170
[0.32426938],7,14,[2.9838283],171
[0.32307324],7,10,[2.9892452],172
[0.31587487],7,9,[2.870463],173
[0.30747053],7,8,[2.9728007],174
[0.31052634],7,15,[2.986749],175
[0.28495324],7,18,[2.8934436],176
[0.29246363],7,5,[2.9818025],177
[0.27481627],7,17,[2.953176],178
[0.27072874],7,12,[2.9884067],179
[0.26451],7,7,[2.7346392],180
[0.271069],7,6,[2.9176338],181
[0.2786626],7,11,[2.9906576],182
[0.28266785],7,1,[2.9914694],183
[0.2807191],7,17,[2.9480398],184
[0.29053336],7,13,[2.9293513],185
[0.2907517],7,13,[2.9268968],186
[0.28078797],7,17,[2.9426248],187
[0.2764299],7,17,[2.9387343],188
[0.28057268],7,15,[2.9831922],189
[0.2725823],7,12,[2.9870238],190
[0.26718777],7,16,[2.9523888],191
[0.25809908],7,12,[2.9858305],192
[0.24087468],7,19,[2.9910562],193
[0.24470164],7,16,[2.947534],194
[0.23419167],7,1,[2.9880116],195
[0.21044934],7,18,[2.8691075],196
[0.2103692],7,9,[2.8932242],197
[0.20198014],7,19,[2.9898288],198
[0.20264052],7,14,[2.978095],199
[0.19323523],7,10,[2.9850676],200
[0.18772233],7,16,[2.932126],201
[0.18052131],7,16,[2.9285731],202
[0.17111479],7,4,[2.9825325],203
[0.16534263],7,3,[2.994316],204
[0.15193255],7,8,[2.9677055],205
[0.15455672],7,10,[2.9833553],206
[0.15094905],7,14,[2.973676],207
[0.14939503],18,19,[2.987366],208
[0.14365777],7,2,[2.961254],209
[0.13851596],18,13,[2.9093168],210
[0.13713141],7,2,[2.9599767],211
[0.1340815],18,14,[2.9666212],212
[0.13336882],18,13,[2.9023118],213
