probability,move,scenario_no,loss,move_no
[0.14454955],1,17,[2.961446],1
[0.14435427],1,4,[2.9497006],2
[0.14406747],1,10,[2.9079893],3
[0.14343384],1,4,[2.947408],4
[0.14283729],1,9,[2.9551058],5
[0.1422683],1,7,[2.9687543],6
[0.14164403],1,10,[2.9016733],7
[0.14093064],1,12,[2.9633317],8
[0.14021985],1,8,[2.9693496],9
[0.13947825],1,8,[2.9690442],10
[0.13877003],1,9,[2.9519496],11
[0.1380661],1,10,[2.8939931],12
[0.13728033],1,1,[2.860211],13
[0.13876668],1,15,[2.9824638],14
[0.14003621],1,12,[2.9610949],15
[0.14123096],1,13,[2.962429],16
[0.14219421],1,11,[2.9571157],17
[0.14299336],1,16,[2.948667],18
[0.14353986],1,3,[2.9577074],19
[0.14397329],1,6,[2.9177985],20
[0.14405447],1,8,[2.9664752],21
[0.1441444],1,12,[2.9590945],22
[0.1442225],1,13,[2.9613552],23
[0.14422908],1,16,[2.947111],24
[0.14411859],1,10,[2.8828526],25
[0.14392838],1,4,[2.9403207],26
[0.1437316],1,6,[2.9144611],27
[0.14337687],1,16,[2.9453325],28
[0.14293857],1,17,[2.9561877],29
[0.14250602],1,19,[2.9599812],30
[0.14199895],1,9,[2.947542],31
[0.14149572],1,14,[2.934627],32
[0.1409612],1,4,[2.9388664],33
[0.14044233],1,5,[2.9771407],34
[0.1399059],1,9,[2.9468281],35
[0.13937436],1,7,[2.966547],36
[0.13884197],1,19,[2.9593089],37
[0.13829735],1,6,[2.9091756],38
[0.13758278],1,18,[2.956135],39
[0.13684618],1,1,[2.8607001],40
[0.13740543],1,4,[2.9368098],41
[0.13787751],1,14,[2.9339633],42
[0.13829426],1,16,[2.9412413],43
[0.13855669],1,9,[2.944931],44
[0.13877387],1,15,[2.9825284],45
[0.13892995],1,9,[2.944371],46
[0.13903724],1,3,[2.9581656],47
[0.13907635],1,7,[2.9661968],48
[0.13906707],1,10,[2.8806846],49
[0.13892661],1,13,[2.9605837],50
[0.13872267],1,14,[2.9321332],51
[0.13851751],1,6,[2.905769],52
[0.13811852],1,1,[2.8594458],53
[0.13885577],1,6,[2.9048228],54
[0.13931175],1,8,[2.966409],55
[0.13971917],1,8,[2.9663403],56
[0.14008075],1,10,[2.879621],57
[0.14026251],1,5,[2.978025],58
[0.14039312],1,16,[2.939918],59
[0.14035845],1,8,[2.9656978],60
[0.14034535],1,18,[2.9571147],61
[0.14026299],1,19,[2.9599214],62
[0.14012131],1,2,[2.9682903],63
[0.13989224],1,17,[2.9588668],64
[0.13964732],1,5,[2.9778135],65
[0.13936305],1,18,[2.9565203],66
[0.13907142],1,2,[2.9679031],67
[0.13873287],1,7,[2.9662194],68
[0.13837689],1,17,[2.9581547],69
[0.13801639],1,1,[2.8595812],70
[0.13875291],1,6,[2.8995104],71
[0.13920294],1,17,[2.9573383],72
[0.13959746],1,4,[2.9366822],73
[0.13990583],1,15,[2.983277],74
[0.14015867],1,4,[2.9362035],75
[0.14035656],1,6,[2.89792],76
[0.14033946],1,7,[2.9657009],77
[0.1402622],1,8,[2.964291],78
[0.1402065],1,2,[2.9666872],79
[0.1400714],1,6,[2.8949387],80
[0.13972262],1,8,[2.9639773],81
[0.13942893],1,14,[2.9346182],82
[0.139102],1,11,[2.965099],83
[0.13875507],1,15,[2.9830964],84
[0.13840276],1,14,[2.9339452],85
[0.13805518],1,17,[2.9553096],86
[0.13770121],1,17,[2.9550514],87
[0.13734479],1,15,[2.9828272],88
[0.13697785],1,3,[2.9611254],89
[0.136588],1,19,[2.9600353],90
[0.1361763],1,9,[2.943902],91
[0.13576554],1,4,[2.9328413],92
[0.13535096],1,15,[2.982281],93
[0.13493864],1,18,[2.955137],94
[0.13453448],1,14,[2.929893],95
[0.13412559],1,12,[2.963571],96
[0.13374938],1,11,[2.9646678],97
[0.13334012],1,18,[2.9542925],98
[0.13292582],1,11,[2.964312],99
[0.13248773],1,12,[2.9632492],100
[0.13209163],1,14,[2.9264956],101
[0.13169195],1,11,[2.9633608],102
[0.13128576],1,19,[2.9589014],103
[0.13085257],1,10,[2.8904295],104
[0.13033938],1,19,[2.9585075],105
[0.12981752],1,5,[2.9777157],106
[0.12929736],1,19,[2.9577982],107
[0.12876923],1,11,[2.96117],108
[0.1282391],1,10,[2.889329],109
[0.12765183],1,15,[2.9812424],110
[0.12709375],1,4,[2.9318874],111
[0.12654027],1,11,[2.95953],112
[0.126002],1,6,[2.8936632],113
[0.1253187],1,1,[2.8722064],114
[0.12566136],1,11,[2.9582276],115
[0.1259261],1,2,[2.9668999],116
[0.12609458],1,18,[2.952717],117
[0.12619144],1,8,[2.9631145],118
[0.12628138],1,15,[2.9808638],119
[0.12628816],1,8,[2.9629085],120
[0.12630165],1,11,[2.9556751],121
[0.12624303],1,6,[2.892563],122
[0.12600753],1,13,[2.965035],123
[0.12571873],1,1,[2.8718138],124
[0.12638792],1,15,[2.9804258],125
[0.12696664],1,7,[2.967504],126
[0.12744641],1,12,[2.962654],127
[0.12788191],1,5,[2.977666],128
[0.12822992],1,1,[2.8693113],129
[0.12944455],1,1,[2.8681006],130
[0.13137919],1,8,[2.9614766],131
[0.13316256],1,9,[2.9477541],132
[0.1347368],1,15,[2.9799185],133
[0.13613224],1,10,[2.8882482],134
[0.13729078],1,5,[2.9776394],135
[0.13830662],1,14,[2.9257245],136
[0.13915896],1,8,[2.9606452],137
[0.13995157],1,7,[2.9674296],138
[0.1406223],1,16,[2.9505944],139
[0.14111231],1,10,[2.8867629],140
[0.14145023],1,2,[2.9674265],141
[0.14168827],1,9,[2.9472723],142
[0.14184894],1,18,[2.954289],143
[0.14196573],1,14,[2.9246664],144
[0.142007],1,17,[2.9569018],145
[0.1420104],1,10,[2.8830762],146
[0.14188918],1,14,[2.9232593],147
[0.14173466],1,15,[2.9796162],148
[0.14156398],1,13,[2.9665167],149
[0.1413424],1,14,[2.9207828],150
[0.14110363],1,5,[2.9769988],151
[0.14081883],1,8,[2.9593852],152
[0.14055456],1,12,[2.9624317],153
[0.14027591],1,17,[2.9562595],154
[0.13997796],1,3,[2.9674025],155
[0.1396463],1,10,[2.878239],156
[0.13920675],1,17,[2.9556003],157
[0.1387711],1,2,[2.9676502],158
[0.13828494],1,8,[2.9584851],159
[0.13784845],1,11,[2.9543433],160
[0.13735147],1,19,[2.9598045],161
[0.13685353],1,15,[2.979391],162
[0.13634782],1,17,[2.95369],163
[0.13585104],1,18,[2.9542155],164
[0.13536686],1,15,[2.9791243],165
[0.13487089],1,17,[2.9523008],166
[0.1343938],1,2,[2.9667401],167
[0.13389684],1,11,[2.9532034],168
[0.13336676],1,18,[2.953303],169
[0.13286476],1,14,[2.9120355],170
[0.132349],1,6,[2.9064877],171
[0.13173471],1,14,[2.9107122],172
[0.13113087],1,5,[2.9757962],173
[0.13053672],1,12,[2.9630098],174
[0.1300046],1,1,[2.867566],175
[0.13047649],1,4,[2.9426434],176
[0.13085368],1,12,[2.962683],177
[0.1311941],1,18,[2.9515252],178
[0.13147254],1,14,[2.9040232],179
[0.13163786],1,18,[2.9508893],180
[0.13177416],1,13,[2.9676976],181
[0.13181795],1,1,[2.8657625],182
[0.132796],1,7,[2.9698067],183
[0.13365957],1,15,[2.9785163],184
[0.13439022],1,12,[2.9614275],185
