probability,move,scenario_no,loss,move_no
[0.17507833],8,16,[2.959008],1
[0.1696796],8,6,[2.8661022],2
[0.16547784],8,10,[2.9271488],3
[0.16191809],8,19,[2.9486098],4
[0.16620886],6,8,[2.8402808],5
[0.17210287],6,10,[2.917883],6
[0.17681059],6,13,[2.9774876],7
[0.18030113],6,15,[2.9770818],8
[0.1830912],6,9,[2.97503],9
[0.1863689],8,10,[2.9051466],10
[0.18983197],8,12,[2.9482496],11
[0.19242842],8,19,[2.9413457],12
[0.19430669],8,1,[2.974038],13
[0.19543561],8,2,[2.9526014],14
[0.1958346],8,13,[2.9758694],15
[0.1960072],8,4,[2.987918],16
[0.19584037],8,5,[2.967545],17
[0.19543242],8,3,[2.9810054],18
[0.19462189],8,6,[2.820845],19
[0.19245593],8,10,[2.879403],20
[0.19006725],8,1,[2.9719822],21
[0.18971278],6,11,[2.957492],22
[0.19216909],6,18,[2.9760013],23
[0.19405577],6,9,[2.9736972],24
[0.19555052],6,19,[2.9339082],25
[0.19682366],6,5,[2.9658659],26
[0.19761045],6,4,[2.9871135],27
[0.19819418],6,1,[2.9687016],28
[0.1985735],6,8,[2.831429],29
[0.19743758],6,13,[2.9738731],30
[0.19598089],6,17,[2.9908438],31
[0.19445977],6,7,[2.9833283],32
[0.1929058],6,13,[2.972595],33
[0.19108713],6,11,[2.9555387],34
[0.18884304],6,12,[2.9484172],35
[0.18597706],6,11,[2.9535313],36
[0.18285431],6,1,[2.9645336],37
[0.17995039],8,3,[2.9806395],38
[0.17948313],8,4,[2.9854867],39
[0.17884591],8,1,[2.961916],40
[0.17786227],8,5,[2.9608922],41
[0.17678493],8,18,[2.974234],42
[0.17562173],8,12,[2.9414525],43
[0.17424831],8,7,[2.9813223],44
[0.1728295],8,13,[2.9651203],45
[0.17141028],8,12,[2.9360511],46
[0.1699001],8,8,[2.8282561],47
[0.17340855],8,6,[2.8471785],48
[0.17583807],8,7,[2.9798846],49
[0.17788135],8,4,[2.9829361],50
[0.17947622],8,11,[2.938759],51
[0.1803297],8,7,[2.9788527],52
[0.1808685],8,9,[2.9721777],53
[0.18112063],8,5,[2.9569209],54
[0.1812017],8,8,[2.816998],55
[0.18607114],8,2,[2.9610739],56
[0.1903632],8,17,[2.9901667],57
[0.19408013],8,11,[2.9339347],58
[0.19683938],8,1,[2.9551294],59
[0.19886622],8,10,[2.8910046],60
[0.20035256],8,8,[2.7979417],61
[0.20695694],8,9,[2.971552],62
[0.21290721],8,6,[2.857443],63
[0.21740688],8,14,[2.9872212],64
[0.22133334],8,9,[2.9711318],65
[0.2246775],8,13,[2.9624345],66
[0.22738042],8,14,[2.987318],67
[0.22975792],8,13,[2.961867],68
[0.23160838],8,18,[2.975597],69
[0.2330521],8,17,[2.9908447],70
[0.23413755],8,13,[2.9592903],71
[0.23481725],8,5,[2.9563992],72
[0.23513],8,3,[2.9838488],73
[0.2350672],8,17,[2.9903796],74
[0.23473445],8,14,[2.9861472],75
[0.23422626],8,15,[2.9856238],76
[0.23354705],8,11,[2.9300966],77
[0.23193112],8,7,[2.9775133],78
[0.23006745],8,6,[2.8556054],79
[0.22721966],8,11,[2.925643],80
[0.2237079],8,5,[2.9516122],81
[0.22010776],8,11,[2.9204404],82
[0.21602127],8,17,[2.9886332],83
[0.21201845],8,7,[2.9755986],84
[0.20813729],8,19,[2.9543457],85
[0.20431599],8,9,[2.9655597],86
[0.20052843],8,2,[2.9665978],87
[0.19685964],8,14,[2.983612],88
[0.19344087],8,13,[2.9482756],89
[0.19008863],8,2,[2.9651525],90
[0.18694055],8,10,[2.9068813],91
[0.18378656],8,9,[2.9623797],92
[0.18070796],8,11,[2.8901954],93
[0.17695667],8,17,[2.986141],94
[0.17330295],8,14,[2.9816642],95
[0.1699754],8,16,[2.9753413],96
[0.16671199],8,10,[2.9034498],97
[0.16358905],8,19,[2.9532344],98
[0.1606707],8,18,[2.9740999],99
[0.15787973],8,16,[2.9741256],100
[0.15508987],8,11,[2.8652356],101
[0.1514853],8,7,[2.9713848],102
[0.14798452],8,11,[2.8535304],103
[0.15432794],11,12,[2.948567],104
[0.16353735],11,13,[2.9441562],105
[0.17188424],11,6,[2.8766313],106
[0.17817962],11,8,[2.8654451],107
[0.1823866],11,12,[2.9475887],108
[0.18586718],11,2,[2.95987],109
[0.18861008],11,10,[2.8986928],110
[0.19038235],11,14,[2.9799652],111
[0.19174862],11,11,[2.806495],112
[0.20026404],11,11,[2.7980406],113
[0.21500348],11,18,[2.9745834],114
[0.22916985],11,14,[2.9800491],115
[0.24200481],11,16,[2.973507],116
[0.25401664],11,18,[2.9746513],117
[0.2647267],11,16,[2.9734247],118
[0.27434695],11,15,[2.9891822],119
[0.28312147],11,2,[2.9620936],120
[0.28987363],11,16,[2.97196],121
[0.29572636],11,6,[2.904727],122
[0.29856014],11,2,[2.9608335],123
[0.29974872],11,7,[2.9766264],124
[0.30024347],11,16,[2.9682546],125
[0.30026478],11,19,[2.9664478],126
[0.2991829],11,11,[2.70011],127
[0.3107627],11,2,[2.956607],128
[0.32025883],11,17,[2.9894223],129
[0.3288701],11,4,[2.9915166],130
[0.33610898],11,9,[2.973722],131
[0.3418103],11,5,[2.9708552],132
[0.34620443],11,1,[2.9744925],133
[0.34929034],11,9,[2.973655],134
[0.35099402],11,6,[2.9102116],135
[0.34993282],11,10,[2.918921],136
[0.3464827],11,8,[2.9169755],137
[0.3408261],11,16,[2.9598248],138
