probability,move,scenario_no,loss,move_no
[0.17722571],16,19,[2.9761066],1
[0.17839676],16,4,[2.9349165],2
[0.17611726],16,2,[2.964651],3
[0.17795308],16,1,[2.947365],4
[0.17275554],16,17,[2.9748485],5
[0.17416997],16,18,[2.9812977],6
[0.17480937],16,19,[2.9738066],7
[0.17466615],16,15,[2.9063206],8
[0.17241609],16,2,[2.961948],9
[0.1740739],16,14,[2.9597094],10
[0.17292957],16,14,[2.9592414],11
[0.16536057],16,7,[2.9769487],12
[0.1681832],16,3,[2.985683],13
[0.16685446],16,12,[2.9608855],14
[0.16498646],16,5,[2.9484804],15
[0.16220865],16,17,[2.9725099],16
[0.16536312],16,14,[2.956077],17
[0.15795065],16,7,[2.9757724],18
[0.16100459],16,19,[2.9712892],19
[0.15543859],16,7,[2.9752648],20
[0.16145621],16,6,[2.9397342],21
[0.15440634],16,16,[2.8432448],22
[0.15375835],16,7,[2.9745128],23
[0.16186674],16,6,[2.9386086],24
[0.1607813],16,8,[2.9239538],25
[0.1571599],16,16,[2.8404987],26
[0.16165365],16,13,[2.9630532],27
[0.16400824],16,14,[2.952317],28
[0.163408],16,19,[2.9701984],29
[0.1649365],16,10,[2.9052968],30
[0.16668974],16,1,[2.9416645],31
[0.16704687],16,8,[2.9231675],32
[0.16678669],16,10,[2.9041436],33
[0.16810821],16,14,[2.951482],34
[0.16693768],16,19,[2.9696188],35
[0.16776472],16,10,[2.9020462],36
[0.16801284],16,10,[2.9010036],37
[0.16859381],16,4,[2.9294615],38
[0.16611457],16,5,[2.9463897],39
[0.16864052],16,11,[2.9675648],40
[0.16679694],16,3,[2.9851906],41
[0.16751547],16,13,[2.9622684],42
[0.16664018],16,2,[2.9587767],43
[0.16749339],16,10,[2.893984],44
[0.16691974],16,19,[2.968652],45
[0.16659683],16,13,[2.9613857],46
[0.1654474],16,3,[2.9850214],47
[0.16668615],16,4,[2.9290342],48
[0.16482832],16,3,[2.9848816],49
[0.1647868],16,2,[2.9583983],50
[0.16256316],16,17,[2.9712205],51
[0.1636823],16,18,[2.9800823],52
[0.16345406],16,3,[2.9844913],53
[0.16491094],16,8,[2.9229498],54
[0.15933722],16,7,[2.9730916],55
[0.16145328],16,5,[2.9453564],56
[0.16242382],16,13,[2.9588842],57
[0.1618451],16,13,[2.9585693],58
[0.16434476],16,6,[2.9392831],59
[0.16127573],16,10,[2.884954],60
[0.16053922],16,4,[2.9272935],61
[0.15886532],16,12,[2.9627242],62
[0.15972385],16,8,[2.9217443],63
[0.15938008],16,14,[2.9515395],64
[0.15716773],16,13,[2.9562373],65
[0.15476504],16,16,[2.8429034],66
[0.1576262],16,10,[2.8816073],67
[0.15802419],16,19,[2.967609],68
[0.15876587],16,15,[2.914135],69
[0.15765516],16,2,[2.9576402],70
[0.15842174],16,4,[2.9257548],71
[0.15902661],16,8,[2.920207],72
[0.15735374],16,3,[2.9836097],73
[0.1544042],16,7,[2.972744],74
[0.15723498],16,12,[2.9628766],75
[0.15887831],16,11,[2.9690545],76
[0.15675089],16,12,[2.9625947],77
[0.15568575],16,5,[2.9450235],78
[0.1531552],16,7,[2.9725142],79
[0.1558064],16,13,[2.954369],80
[0.15689528],16,14,[2.9518118],81
[0.15661298],16,11,[2.9685059],82
[0.15670551],16,1,[2.9468944],83
[0.15336394],16,18,[2.9803889],84
[0.150308],16,7,[2.9718032],85
[0.15463886],16,11,[2.967716],86
[0.15237153],16,2,[2.9575684],87
[0.1532515],16,15,[2.9143956],88
[0.15026006],16,5,[2.9431758],89
[0.15041329],16,13,[2.9530113],90
[0.15129359],16,14,[2.9503257],91
[0.14817624],16,5,[2.9421763],92
[0.14977443],16,14,[2.949711],93
[0.14677973],16,16,[2.85085],94
[0.14772168],16,13,[2.952054],95
[0.14858726],16,9,[2.9811084],96
[0.15032035],16,11,[2.9658275],97
[0.14960429],16,8,[2.9186575],98
[0.1481075],16,13,[2.951111],99
[0.14877169],16,9,[2.9809253],100
[0.14766547],16,16,[2.8499594],101
[0.14901894],16,12,[2.9606209],102
[0.15043844],16,10,[2.8830764],103
[0.15068682],16,2,[2.9568706],104
[0.15153706],16,9,[2.98061],105
[0.15532371],16,6,[2.9432185],106
[0.14917089],16,7,[2.971037],107
[0.15342055],16,14,[2.9475632],108
[0.1518491],16,13,[2.94913],109
[0.15505064],16,1,[2.946725],110
[0.15292247],16,10,[2.881556],111
[0.15342222],16,8,[2.9186482],112
[0.15494181],16,1,[2.946242],113
[0.15163702],16,3,[2.9837258],114
[0.15375122],16,15,[2.9180138],115
[0.15283717],16,19,[2.968918],116
[0.15089585],16,13,[2.94743],117
[0.15379424],16,1,[2.9448047],118
[0.15296957],16,11,[2.9652057],119
[0.15047845],16,2,[2.956319],120
[0.15002881],16,16,[2.847612],121
[0.15168501],16,8,[2.9179144],122
[0.15143314],16,2,[2.9558117],123
[0.15412658],16,11,[2.9648297],124
[0.15118945],16,5,[2.9404914],125
[0.1520021],16,13,[2.9457254],126
[0.15377526],16,14,[2.947668],127
[0.15276408],16,4,[2.9322224],128
[0.15015002],16,7,[2.971472],129
[0.1500126],16,7,[2.9714081],130
[0.15459596],16,11,[2.9637885],131
[0.15094674],16,5,[2.9395208],132
[0.1502427],16,17,[2.9742916],133
[0.1505931],16,3,[2.9837976],134
[0.14957191],16,17,[2.9741237],135
[0.15127498],16,8,[2.9164093],136
[0.15410337],16,6,[2.9452884],137
[0.15175994],16,15,[2.9199138],138
[0.14851707],16,13,[2.9438276],139
