probability,move,scenario_no,loss,move_no
[0.09428235],3,19,[2.9823673],1
[0.09424575],3,15,[2.9285388],2
[0.09419375],3,4,[2.9789588],3
[0.094143],3,14,[2.9042153],4
[0.09410277],3,2,[2.987492],5
[0.09405065],3,14,[2.9039679],6
[0.09402164],3,9,[2.9412549],7
[0.09396325],3,19,[2.9822206],8
[0.09392057],3,7,[2.943745],9
[0.09397974],14,18,[2.9670446],10
[0.09406648],14,16,[2.9675784],11
[0.09414165],14,4,[2.9788055],12
[0.09422605],14,6,[2.9481635],13
[0.09429014],14,2,[2.9874213],14
[0.09435245],14,3,[2.9038224],15
[0.0943955],14,9,[2.9408715],16
[0.09444977],14,5,[2.9217174],17
[0.09447864],14,15,[2.9277391],18
[0.09451072],14,5,[2.9216154],19
[0.09452756],14,6,[2.947964],20
[0.09454495],14,13,[2.9497986],21
[0.09456746],14,2,[2.9873676],22
[0.09459313],14,5,[2.921346],23
[0.09460121],14,6,[2.9478211],24
[0.09461617],14,6,[2.9477727],25
[0.09463224],14,3,[2.9034052],26
[0.09463944],14,8,[2.918373],27
[0.09463279],14,7,[2.943436],28
[0.09463207],14,14,[2.9027984],29
[0.09468381],14,12,[2.973697],30
[0.0947192],14,9,[2.9405332],31
[0.09475651],14,8,[2.9182239],32
[0.09478636],14,15,[2.927452],33
[0.09480316],14,10,[2.970047],34
[0.09481372],14,17,[2.9389849],35
[0.09482234],14,7,[2.9433243],36
[0.09482978],14,13,[2.949618],37
[0.0948447],14,12,[2.9736543],38
[0.09484394],14,9,[2.9403732],39
[0.09485152],14,10,[2.970003],40
[0.09485819],14,1,[2.9240496],41
[0.09484634],14,8,[2.917896],42
[0.09483143],14,9,[2.9402716],43
[0.09482306],14,12,[2.9736018],44
[0.09480776],14,3,[2.9031181],45
[0.09478492],14,16,[2.9674833],46
[0.09477615],14,12,[2.9735634],47
[0.09475426],14,9,[2.9401248],48
[0.09474479],14,1,[2.9239368],49
[0.09472212],14,10,[2.9699333],50
[0.09469836],14,13,[2.9495249],51
[0.09468438],14,8,[2.9176056],52
[0.09465959],14,9,[2.9399755],53
[0.09463641],14,8,[2.9175146],54
[0.09460813],14,14,[2.9028203],55
[0.09463202],14,17,[2.9389656],56
[0.09464821],14,4,[2.9787374],57
[0.09467812],14,19,[2.9821336],58
[0.09469336],14,2,[2.9873228],59
[0.09471071],14,3,[2.9029567],60
[0.09471332],14,7,[2.9431818],61
[0.09472644],14,15,[2.9273453],62
[0.09472177],14,2,[2.9873133],63
[0.09472442],14,12,[2.9734256],64
[0.09471791],14,2,[2.987303],65
[0.09471793],14,10,[2.9698703],66
[0.09471671],14,10,[2.969858],67
[0.09471893],14,1,[2.9237356],68
[0.09471139],14,3,[2.9027307],69
[0.09475416],3,8,[2.917039],70
[0.09480286],3,11,[2.9124866],71
[0.09484585],3,7,[2.943073],72
[0.09486426],3,5,[2.9211197],73
[0.09488629],3,1,[2.92359],74
[0.09492568],3,3,[2.9025025],75
[0.09498937],3,18,[2.9671464],76
[0.0950456],3,19,[2.9821293],77
[0.0950983],3,11,[2.9123974],78
[0.0951518],3,17,[2.9389818],79
[0.09517337],3,18,[2.967128],80
[0.09520112],3,18,[2.9671102],81
[0.09522581],3,13,[2.9496458],82
[0.09522935],3,1,[2.9233732],83
[0.09524472],3,14,[2.9031131],84
[0.09525862],3,4,[2.9787552],85
[0.09526411],3,4,[2.9787498],86
[0.09527231],3,18,[2.9669886],87
[0.09526921],3,4,[2.978725],88
[0.09526874],3,15,[2.9275162],89
[0.09527653],3,16,[2.9676635],90
[0.09525952],3,3,[2.9021695],91
[0.09529403],3,19,[2.9821138],92
[0.09533466],3,13,[2.9495988],93
[0.09536752],3,6,[2.9478402],94
[0.09538674],3,18,[2.9668515],95
[0.09539473],3,14,[2.9030461],96
[0.09543021],3,17,[2.9389813],97
[0.09543242],3,7,[2.9430516],98
[0.0954448],3,17,[2.9389362],99
[0.09543797],3,13,[2.9494858],100
[0.09543843],3,8,[2.9171479],101
[0.09542312],3,14,[2.9028707],102
[0.0954229],3,4,[2.9786172],103
[0.09542316],3,9,[2.9400938],104
[0.09541289],3,6,[2.9477935],105
[0.09539409],3,18,[2.9667437],106
[0.09539053],3,17,[2.9386952],107
[0.09536766],3,7,[2.942969],108
[0.09534831],3,9,[2.9400373],109
[0.09532099],3,4,[2.9785862],110
[0.09530462],3,2,[2.9873052],111
[0.09530102],3,16,[2.9676654],112
[0.09527162],3,18,[2.9666557],113
[0.09525791],3,6,[2.9476933],114
[0.09522901],3,4,[2.9785495],115
[0.09521912],3,3,[2.902208],116
[0.09524681],3,10,[2.9699175],117
[0.09527749],3,19,[2.9820902],118
[0.09530959],3,6,[2.9475832],119
[0.09532667],3,13,[2.9492998],120
[0.09534875],3,12,[2.9735143],121
[0.09535779],3,3,[2.9020686],122
[0.09541915],3,6,[2.9474578],123
[0.09546275],3,15,[2.927818],124
[0.09551113],3,3,[2.901915],125
[0.09558377],3,15,[2.9277787],126
[0.09564206],3,1,[2.9235206],127
[0.09571677],3,3,[2.9017096],128
[0.09580491],3,4,[2.9784734],129
[0.09590025],3,9,[2.939932],130
[0.09596894],3,10,[2.969892],131
[0.09604156],3,6,[2.9472094],132
[0.09609481],3,8,[2.9173818],133
[0.09615196],3,16,[2.9676087],134
[0.09618665],3,7,[2.9429474],135
[0.09622846],3,16,[2.9675856],136
[0.0962467],3,11,[2.9136398],137
[0.096266],3,10,[2.969856],138
[0.09629841],3,16,[2.9675233],139
[0.09629697],3,4,[2.978436],140
[0.09631109],3,10,[2.9698195],141
[0.09632961],3,3,[2.9010963],142
[0.09637522],3,5,[2.9223704],143
[0.09642876],3,15,[2.927469],144
[0.09647168],3,18,[2.9665737],145
[0.09649231],3,14,[2.9031754],146
[0.09652419],3,10,[2.9697304],147
[0.09655321],3,3,[2.900873],148
[0.0966109],3,10,[2.9696925],149
[0.09666584],3,5,[2.9222796],150
[0.09672087],3,4,[2.9783993],151
[0.09677151],3,11,[2.913631],152
[0.09681381],3,7,[2.9429777],153
[0.09684482],3,7,[2.9429626],154
[0.09686744],3,8,[2.917446],155
[0.09687535],3,14,[2.9030693],156
[0.09690157],3,8,[2.9174128],157
[0.09689642],3,1,[2.9237404],158
[0.09692372],3,12,[2.9736342],159
[0.0969209],3,6,[2.9471393],160
[0.09691723],3,8,[2.9172509],161
[0.09689853],3,1,[2.923671],162
