probability,move,scenario_no,loss,move_no
[0.11308059],2,10,[2.9498444],1
[0.11266463],2,19,[2.9651504],2
[0.11198672],2,12,[2.953873],3
[0.11126391],2,13,[2.8965797],4
[0.11065518],2,13,[2.895297],5
[0.11013864],2,13,[2.893682],6
[0.10967705],2,4,[2.942202],7
[0.10916526],2,6,[2.9459488],8
[0.10860606],2,13,[2.8888962],9
[0.11011191],13,5,[2.941955],10
[0.11151052],13,14,[2.9700308],11
[0.11275373],13,13,[2.8846586],12
[0.11423327],13,6,[2.9443967],13
[0.11558511],13,18,[2.9620833],14
[0.11679455],13,12,[2.9501739],15
[0.1178698],13,8,[2.9239545],16
[0.11882906],13,6,[2.9429312],17
[0.11969765],13,15,[2.9574425],18
[0.1204216],13,19,[2.9612288],19
[0.1210636],13,15,[2.957062],20
[0.12161706],13,3,[2.9583485],21
[0.12212028],13,4,[2.9388745],22
[0.12255948],13,18,[2.9609344],23
[0.12295306],13,16,[2.9863446],24
[0.12331475],13,9,[2.9726799],25
[0.12358738],13,3,[2.9575663],26
[0.12386597],13,18,[2.9602306],27
[0.12413567],13,13,[2.8732822],28
[0.12484007],13,18,[2.9597437],29
[0.12549356],13,17,[2.9424984],30
[0.12601314],13,8,[2.9216712],31
[0.12649389],13,8,[2.9212515],32
[0.12695733],13,10,[2.9441926],33
[0.12735742],13,17,[2.941669],34
[0.12768073],13,11,[2.9202287],35
[0.12791128],13,5,[2.9398153],36
[0.12806989],13,5,[2.9397047],37
[0.1281814],13,4,[2.9373312],38
[0.12824295],13,5,[2.9390552],39
[0.12826549],13,16,[2.9859712],40
[0.12829049],13,14,[2.9691126],41
[0.12826762],13,11,[2.918977],42
[0.12823737],13,16,[2.9858296],43
[0.12821548],13,1,[2.9649925],44
[0.1281375],13,11,[2.917721],45
[0.12806347],13,17,[2.9397082],46
[0.12794268],13,15,[2.9556193],47
[0.12776804],13,18,[2.9572158],48
[0.12759009],13,8,[2.917596],49
[0.1274361],13,10,[2.9433298],50
[0.12729268],13,13,[2.8701265],51
[0.1276799],13,18,[2.956674],52
[0.1280367],13,18,[2.9564526],53
[0.12834442],13,6,[2.9404452],54
[0.12858534],13,5,[2.9358554],55
[0.1287492],13,17,[2.9381402],56
[0.12885077],13,4,[2.9365957],57
[0.12889154],13,10,[2.9423685],58
[0.12890825],13,2,[2.9196985],59
[0.12886064],13,15,[2.9552402],60
[0.12875298],13,18,[2.9547663],61
[0.12863187],13,16,[2.9853668],62
[0.12852375],13,7,[2.9742284],63
[0.12836933],13,18,[2.954176],64
[0.12821627],13,15,[2.9545364],65
[0.12801452],13,6,[2.9397092],66
[0.12779318],13,10,[2.941181],67
[0.12757142],13,4,[2.9359708],68
[0.12731846],13,6,[2.939074],69
[0.12705491],13,2,[2.919212],70
[0.12678072],13,2,[2.9188085],71
[0.1265152],13,11,[2.9147499],72
[0.1262553],13,9,[2.974118],73
[0.12595433],13,17,[2.9366364],74
[0.125655],13,13,[2.871767],75
[0.12591262],13,10,[2.940195],76
[0.1261405],13,15,[2.9529185],77
[0.12628797],13,8,[2.9181461],78
[0.12641798],13,1,[2.9667985],79
[0.12649249],13,18,[2.9526396],80
[0.12654176],13,16,[2.9854026],81
[0.12658857],13,19,[2.9634876],82
[0.12657438],13,2,[2.914395],83
[0.12654789],13,10,[2.9390671],84
[0.12650107],13,3,[2.960097],85
[0.12644316],13,15,[2.9520319],86
[0.126342],13,3,[2.9599164],87
[0.12623766],13,5,[2.9368646],88
[0.12609662],13,10,[2.938084],89
[0.12595007],13,4,[2.93609],90
[0.12575887],13,17,[2.9360843],91
[0.12555416],13,13,[2.871879],92
[0.12590005],13,19,[2.9634376],93
[0.12618837],13,2,[2.9117732],94
[0.12643787],13,19,[2.9632378],95
[0.12661332],13,2,[2.9109404],96
[0.12675439],13,17,[2.9354744],97
[0.12682322],13,4,[2.9355834],98
[0.12683707],13,9,[2.975013],99
[0.12679926],13,11,[2.9167333],100
[0.12675317],13,1,[2.9671488],101
[0.12667276],13,10,[2.9364233],102
[0.12658444],13,7,[2.9759123],103
[0.12646247],13,11,[2.9160528],104
[0.12633994],13,4,[2.9346032],105
[0.12617014],13,15,[2.951439],106
[0.12595178],13,16,[2.9857576],107
[0.1257498],13,5,[2.9373257],108
[0.12550525],13,5,[2.9371095],109
[0.12523821],13,4,[2.9334106],110
[0.12494796],13,7,[2.9756646],111
[0.12468021],13,13,[2.872767],112
[0.12497353],13,17,[2.9343884],113
[0.12519586],13,6,[2.9404309],114
[0.1253489],13,8,[2.9219244],115
[0.12546793],13,8,[2.9217696],116
[0.12557624],13,9,[2.9751825],117
[0.12562437],13,10,[2.9355266],118
[0.12565555],13,4,[2.93142],119
[0.12562308],13,16,[2.9857013],120
[0.12559642],13,15,[2.9511454],121
[0.12549572],13,17,[2.9336503],122
[0.12533876],13,5,[2.935054],123
[0.12513477],13,8,[2.9192688],124
[0.12495031],13,9,[2.974962],125
[0.12474509],13,14,[2.973809],126
[0.12453151],13,14,[2.9737294],127
[0.12430216],13,18,[2.9551184],128
[0.12411255],13,13,[2.873339],129
[0.12446507],13,16,[2.9855146],130
[0.12480353],13,17,[2.93221],131
[0.12504804],13,1,[2.968125],132
[0.12525702],13,13,[2.8721974],133
[0.12596223],13,8,[2.9165869],134
[0.1266154],13,15,[2.9504285],135
[0.12713535],13,16,[2.9853625],136
[0.12763558],13,13,[2.869828],137
[0.12859361],13,7,[2.9757729],138
[0.12945996],13,19,[2.9639282],139
[0.13020013],13,16,[2.9852102],140
[0.13088909],13,9,[2.9746957],141
[0.13146341],13,4,[2.9306786],142
[0.1319313],13,10,[2.935155],143
[0.13233033],13,8,[2.9138987],144
[0.13268624],13,7,[2.9755285],145
[0.1329779],13,4,[2.930129],146
[0.13317631],13,15,[2.950098],147
[0.13328712],13,17,[2.9313319],148
[0.13330814],13,16,[2.9847949],149
[0.13333169],13,9,[2.974468],150
[0.13328508],13,6,[2.9431872],151
[0.13320027],13,17,[2.9304852],152
[0.1330635],13,4,[2.9285648],153
[0.13285607],13,17,[2.9295962],154
[0.13261266],13,11,[2.9207594],155
[0.13235845],13,7,[2.9748828],156
[0.1320867],13,8,[2.9113061],157
[0.1318238],13,16,[2.9844007],158
[0.13158362],13,8,[2.9105299],159
[0.13138562],13,13,[2.8660958],160
[0.13177212],13,19,[2.9641623],161
[0.1321174],13,1,[2.9689236],162
[0.13243096],13,13,[2.8650587],163
[0.13327432],13,4,[2.9268625],164
[0.13401715],13,9,[2.9741335],165
[0.1346445],13,11,[2.9204013],166
[0.13520959],13,3,[2.9641452],167
[0.13570188],13,14,[2.9742813],168
[0.13611779],13,3,[2.9639924],169
[0.1364712],13,15,[2.9507787],170
[0.13672622],13,16,[2.984179],171
[0.1369511],13,8,[2.9060645],172
[0.137121],13,17,[2.9261498],173
[0.13719243],13,6,[2.944166],174
[0.13721298],13,9,[2.9739494],175
[0.13718042],13,4,[2.9257097],176
[0.13712831],13,13,[2.8603904],177
[0.13771677],13,13,[2.8598053],178
[0.1388594],13,12,[2.9652433],179
[0.13986519],13,1,[2.969238],180
[0.14076702],13,12,[2.965161],181
[0.14156012],13,13,[2.8559806],182
[0.14286482],13,19,[2.964805],183
[0.14404029],13,6,[2.9440904],184
[0.14505503],13,2,[2.923225],185
[0.14594452],13,11,[2.920405],186
[0.14670454],13,11,[2.9201748],187
[0.14734516],13,17,[2.9260714],188
[0.14783786],13,2,[2.922819],189
[0.1482452],13,18,[2.9585125],190
[0.14856729],13,15,[2.9526534],191
[0.14879608],13,1,[2.9693375],192
[0.1489387],13,15,[2.9525163],193
[0.14900178],13,6,[2.943478],194
[0.14901236],13,1,[2.9690702],195
[0.14896312],13,10,[2.9395776],196
[0.14888227],13,16,[2.9844627],197
[0.14883406],13,14,[2.975592],198
[0.14870355],13,18,[2.9583774],199
[0.1485755],13,11,[2.917222],200
[0.14841379],13,8,[2.9067383],201
[0.14824219],13,15,[2.950909],202
[0.14800283],13,15,[2.9506385],203
[0.14770727],13,5,[2.945893],204
[0.14740142],13,14,[2.9752169],205
[0.14706118],13,1,[2.9679375],206
[0.14671287],13,2,[2.9207761],207
[0.14640534],13,3,[2.9646335],208
[0.14607723],13,1,[2.9674578],209
[0.145746],13,6,[2.9423308],210
[0.14542663],13,12,[2.9655893],211
[0.14504246],13,18,[2.9576752],212
[0.14470294],13,4,[2.9283333],213
[0.14432727],13,14,[2.9744382],214
[0.1439438],13,1,[2.9662943],215
[0.1435688],13,11,[2.9161026],216
[0.14322628],13,14,[2.9740474],217
[0.1428357],13,16,[2.9844801],218
[0.14253004],13,3,[2.9643843],219
[0.14219159],13,8,[2.9073505],220
[0.14189264],13,19,[2.966706],221
[0.14157014],13,5,[2.9452937],222
[0.14124663],13,4,[2.9276562],223
[0.14087658],13,1,[2.964871],224
[0.14053151],13,14,[2.9729989],225
[0.14018182],13,14,[2.972817],226
[0.13982806],13,1,[2.9642768],227
[0.13947044],13,17,[2.9284306],228
[0.13913545],13,13,[2.8583906],229
[0.13943698],13,12,[2.9652503],230
[0.13967448],13,19,[2.966326],231
[0.13985427],13,2,[2.9206495],232
[0.1400034],13,1,[2.9629984],233
[0.1400808],13,5,[2.9444706],234
[0.14010635],13,10,[2.941751],235
[0.14008822],13,8,[2.906979],236
[0.1400423],13,16,[2.9843795],237
[0.14002384],13,12,[2.9647622],238
[0.13992283],13,9,[2.9755325],239
[0.13978997],13,5,[2.943773],240
[0.13962168],13,6,[2.9430563],241
[0.13940921],13,17,[2.928378],242
[0.13915026],13,1,[2.961427],243
[0.13891138],13,13,[2.858608],244
[0.13930868],13,12,[2.9638793],245
[0.139682],13,13,[2.85784],246
[0.14062424],13,12,[2.963523],247
[0.14145808],13,4,[2.9274402],248
[0.14214501],13,10,[2.9416437],249
[0.14275914],13,1,[2.9606206],250
[0.14325447],13,2,[2.921153],251
[0.14371131],13,3,[2.9648345],252
[0.14405645],13,5,[2.9426095],253
[0.1443218],13,17,[2.928002],254
[0.14450979],13,14,[2.971509],255
[0.14457563],13,17,[2.9275334],256
[0.14464448],13,13,[2.8528976],257
[0.14531757],13,14,[2.9713643],258
[0.14590116],13,10,[2.9411943],259
[0.1464205],13,7,[2.9791522],260
[0.14683947],13,16,[2.9845607],261
[0.14721325],13,17,[2.925474],262
[0.14746213],13,5,[2.9419987],263
[0.14764039],13,12,[2.9617221],264
[0.1476854],13,2,[2.9207752],265
[0.1477162],13,15,[2.9510002],266
[0.14765951],13,10,[2.9402194],267
[0.14755069],13,17,[2.9230378],268
[0.14739656],13,4,[2.9283454],269
[0.14716902],13,12,[2.960982],270
[0.14686684],13,16,[2.9844525],271
[0.1466189],13,8,[2.9109044],272
