probability,move,scenario_no,loss,move_no
[0.08610674],8,12,[2.9638147],1
[0.08617177],8,2,[2.9275072],2
[0.08588746],8,11,[2.9495854],3
[0.08565538],8,14,[2.9524257],4
[0.08535817],8,2,[2.9244337],5
[0.08499696],8,8,[2.9122102],6
[0.08588561],8,16,[2.9508965],7
[0.08661926],8,16,[2.9504771],8
[0.08725658],8,4,[2.9340456],9
[0.08779014],8,19,[2.936264],10
[0.08822689],8,18,[2.953803],11
[0.08862703],8,12,[2.960023],12
[0.08900808],8,18,[2.953195],13
[0.08938856],8,7,[2.9414103],14
[0.08962132],8,18,[2.9524136],15
[0.08986314],8,11,[2.9453502],16
[0.0901064],8,5,[2.9641657],17
[0.09030565],8,1,[2.934069],18
[0.09042167],8,18,[2.9507604],19
[0.09055231],8,5,[2.9636278],20
[0.09068614],8,16,[2.9466383],21
[0.09076652],8,17,[2.9519029],22
[0.09079391],8,1,[2.9328291],23
[0.09078327],8,12,[2.9579935],24
[0.09077985],8,1,[2.932046],25
[0.09074681],8,10,[2.9455812],26
[0.09065272],8,17,[2.9510856],27
[0.09053623],8,12,[2.9572256],28
[0.09043296],8,13,[2.9754584],29
[0.09030887],8,3,[2.9637167],30
[0.09017675],8,14,[2.949176],31
[0.09002831],8,17,[2.9499454],32
[0.08985984],8,1,[2.9291835],33
[0.08967764],8,15,[2.939726],34
[0.08944543],8,13,[2.9749773],35
[0.08923011],8,5,[2.9618804],36
[0.08902386],8,17,[2.9486895],37
[0.08881005],8,6,[2.9782069],38
[0.08858721],8,19,[2.9345398],39
[0.08834437],8,5,[2.9613922],40
[0.08811973],8,2,[2.9178448],41
[0.08782863],8,18,[2.9474425],42
[0.0875687],8,4,[2.9328284],43
[0.08728405],8,11,[2.9434092],44
[0.0870209],8,10,[2.9450817],45
[0.08673493],8,17,[2.946764],46
[0.08643935],8,12,[2.9555087],47
[0.0861695],8,2,[2.916735],48
[0.08583762],8,5,[2.9601996],49
[0.08553693],8,16,[2.9442673],50
[0.08520966],8,7,[2.9401784],51
[0.08482048],8,2,[2.9153833],52
[0.0843906],8,14,[2.9482982],53
[0.08397855],8,15,[2.9396114],54
[0.08356088],8,1,[2.9265835],55
[0.08394489],2,3,[2.9640403],56
[0.08435447],2,6,[2.9781032],57
[0.08472078],2,7,[2.9388063],58
[0.08507724],2,7,[2.9384096],59
[0.08543374],2,9,[2.949637],60
[0.08569633],2,2,[2.9115148],61
[0.08631963],2,5,[2.9592168],62
[0.08687546],2,13,[2.9744246],63
[0.08737787],2,13,[2.9743438],64
[0.08783294],2,19,[2.9352155],65
[0.08823001],2,18,[2.9481342],66
[0.08854548],2,7,[2.9350872],67
[0.08887257],2,10,[2.9457119],68
[0.08911629],2,12,[2.9558403],69
[0.089287],2,10,[2.9454217],70
[0.08939741],2,8,[2.9202423],71
[0.08940696],2,6,[2.9778886],72
[0.08941205],2,9,[2.9495924],73
[0.08936818],2,4,[2.9341645],74
[0.08929983],2,8,[2.9196854],75
[0.08916157],2,10,[2.9438791],76
[0.08898927],2,11,[2.9452515],77
[0.08879946],2,10,[2.9431553],78
[0.08858185],2,14,[2.9482179],79
[0.08837865],2,5,[2.9589088],80
[0.08817871],2,12,[2.9554644],81
[0.08794135],2,17,[2.9466143],82
[0.08769684],2,17,[2.9464686],83
[0.08744418],2,17,[2.9461334],84
[0.08718647],2,2,[2.9100237],85
[0.08738277],2,7,[2.93341],86
[0.0875916],2,14,[2.9474769],87
[0.08777247],2,10,[2.9400766],88
[0.08787818],2,16,[2.9458935],89
[0.08796871],2,11,[2.945046],90
[0.08800653],2,11,[2.9448895],91
[0.08801136],2,1,[2.9278617],92
[0.0880392],2,12,[2.9546926],93
[0.08801024],2,18,[2.949081],94
[0.08794861],2,2,[2.9092624],95
[0.08831966],2,1,[2.9274101],96
[0.08867655],2,19,[2.937552],97
[0.08898278],2,5,[2.958798],98
[0.08924018],2,8,[2.9191713],99
[0.08939485],2,4,[2.934759],100
[0.0895092],2,10,[2.9384778],101
