probability,move,scenario_no,loss,move_no
[0.11515096],5,8,[2.9358637],1
[0.11468263],5,9,[2.9498196],2
[0.11434743],5,5,[2.883021],3
[0.1159726],5,1,[2.9348176],4
[0.11726829],5,12,[2.976449],5
[0.1183193],5,1,[2.9334912],6
[0.11927345],5,4,[2.9497204],7
[0.1200436],5,17,[2.9580586],8
[0.12068474],5,3,[2.9807985],9
[0.12121083],5,5,[2.8761778],10
[0.12237952],5,14,[2.948662],11
[0.12343336],5,2,[2.9705696],12
[0.12433629],5,11,[2.9580889],13
[0.12514162],5,2,[2.9702961],14
[0.12583295],5,16,[2.9711313],15
[0.12648489],5,13,[2.941107],16
[0.12701632],5,2,[2.9696984],17
[0.1274623],5,19,[2.9674265],18
[0.12785332],5,13,[2.9402504],19
[0.12818605],5,4,[2.9473507],20
[0.1284672],5,8,[2.930379],21
[0.12862797],5,12,[2.975188],22
[0.12873416],5,4,[2.9466157],23
[0.12882839],5,3,[2.9798632],24
[0.12887041],5,15,[2.9321175],25
[0.1288676],5,13,[2.9378045],26
[0.12882946],5,11,[2.9565098],27
[0.12875783],5,19,[2.9663873],28
[0.12867059],5,5,[2.8687186],29
[0.12929755],5,6,[2.9289517],30
[0.12978555],5,13,[2.9360156],31
[0.13019322],5,6,[2.928344],32
[0.13055791],5,11,[2.9555647],33
[0.13083439],5,16,[2.9701738],34
[0.13111867],5,3,[2.979268],35
[0.13134108],5,19,[2.9655716],36
[0.13151981],5,1,[2.9283667],37
[0.13165781],5,14,[2.9471698],38
[0.1317813],5,8,[2.9281173],39
[0.13178666],5,8,[2.9278123],40
[0.1317128],5,8,[2.9272668],41
[0.13157201],5,3,[2.9788437],42
[0.13141066],5,15,[2.93107],43
[0.1312597],5,3,[2.9786797],44
[0.13109173],5,3,[2.978556],45
[0.13092367],5,4,[2.94397],46
[0.13072616],5,17,[2.9572308],47
[0.13050124],5,9,[2.948169],48
[0.13025701],5,17,[2.9569104],49
[0.12999626],5,14,[2.9462903],50
[0.1297412],5,14,[2.9460096],51
[0.12949628],5,5,[2.8678966],52
[0.12999478],5,19,[2.9641335],53
[0.13041459],5,18,[2.9643397],54
[0.13076262],5,9,[2.9473577],55
[0.13107236],5,11,[2.9540074],56
[0.13131551],5,7,[2.929048],57
[0.13144493],5,8,[2.9220595],58
[0.131455],5,13,[2.932224],59
[0.13142887],5,12,[2.975255],60
[0.13135943],5,11,[2.9536576],61
[0.1312729],5,8,[2.9210753],62
[0.13109544],5,13,[2.931556],63
[0.13090186],5,3,[2.9772844],64
[0.13069877],5,14,[2.9430575],65
[0.13052075],5,3,[2.9771235],66
[0.1303419],5,8,[2.9190977],67
[0.13008057],5,4,[2.9434338],68
[0.12981749],5,2,[2.9688082],69
[0.12951273],5,10,[2.9613466],70
[0.12921222],5,15,[2.9315135],71
[0.12887761],5,15,[2.931289],72
[0.12854181],5,12,[2.9751754],73
[0.128171],5,18,[2.9646304],74
[0.12782362],5,4,[2.9426951],75
[0.12746279],5,11,[2.9524977],76
[0.12708393],5,1,[2.9308572],77
[0.12673004],5,2,[2.968514],78
[0.12636985],5,2,[2.9683967],79
[0.12602022],5,8,[2.9154243],80
[0.12559305],5,16,[2.9713614],81
[0.12520918],5,10,[2.9610713],82
[0.1248388],5,13,[2.928961],83
[0.12442777],5,1,[2.9301076],84
[0.1240302],5,3,[2.9763644],85
[0.12364048],5,4,[2.9411676],86
[0.123251],5,11,[2.9515755],87
[0.12286061],5,9,[2.947829],88
[0.12250484],5,2,[2.9671557],89
[0.12214833],5,12,[2.974675],90
[0.12179703],5,13,[2.9277287],91
[0.12141769],5,10,[2.9602609],92
[0.1210681],5,4,[2.939995],93
[0.12069257],5,7,[2.9322104],94
[0.12028418],5,14,[2.9431586],95
[0.11988728],5,1,[2.9282818],96
[0.11948169],5,17,[2.9570618],97
[0.11906362],5,1,[2.9276156],98
[0.1186466],5,12,[2.974239],99
[0.11822165],5,6,[2.932333],100
[0.1177977],5,5,[2.8795583],101
[0.11808565],5,18,[2.9649944],102
[0.11833008],5,8,[2.9137373],103
[0.11842816],5,10,[2.9594834],104
[0.11853112],5,2,[2.9664104],105
[0.11856709],5,10,[2.9591408],106
[0.11860529],5,6,[2.9319513],107
[0.11858463],5,16,[2.9714167],108
[0.11855788],5,10,[2.9582803],109
[0.11852182],5,7,[2.9317946],110
[0.11841815],5,4,[2.9386837],111
[0.11826478],5,1,[2.9244845],112
[0.11808905],5,7,[2.931087],113
[0.11785834],5,17,[2.9568286],114
[0.11760768],5,1,[2.923524],115
[0.1173338],5,18,[2.964866],116
[0.11705755],5,6,[2.9304793],117
[0.11677402],5,18,[2.964641],118
[0.11649746],5,13,[2.9280548],119
[0.11617956],5,15,[2.9329543],120
[0.11585808],5,2,[2.9661815],121
[0.11552928],5,8,[2.9132488],122
[0.11513364],5,19,[2.9670157],123
[0.11475283],5,5,[2.882602],124
[0.11504778],5,7,[2.9282498],125
[0.11525981],5,5,[2.882098],126
[0.11603271],5,15,[2.9324973],127
[0.11668561],5,15,[2.9322295],128
[0.11722734],5,1,[2.9206657],129
[0.11767422],5,5,[2.8796947],130
[0.11865065],5,18,[2.9635186],131
[0.11952937],5,12,[2.9747188],132
[0.12029313],5,9,[2.9516363],133
[0.12095505],5,1,[2.9196575],134
[0.1215075],5,16,[2.9719014],135
[0.12199499],5,16,[2.9718392],136
[0.12244269],5,3,[2.9777615],137
[0.12281174],5,7,[2.9270046],138
[0.12309987],5,12,[2.9745536],139
[0.12331965],5,4,[2.939664],140
[0.12346687],5,13,[2.93015],141
[0.12354528],5,8,[2.9149604],142
[0.1234974],5,15,[2.9291162],143
[0.12340105],5,1,[2.9168215],144
[0.12326014],5,1,[2.916376],145
[0.12308225],5,15,[2.9283025],146
[0.1228571],5,1,[2.9149578],147
[0.12261313],5,7,[2.925436],148
[0.12232327],5,13,[2.9299262],149
[0.12200014],5,6,[2.9335167],150
[0.12165973],5,16,[2.9710357],151
[0.12136269],5,5,[2.8760417],152
[0.1217204],5,19,[2.9686713],153
[0.12201142],5,10,[2.9593298],154
[0.12225802],5,16,[2.9707263],155
[0.12249038],5,5,[2.8749228],156
[0.12330665],5,14,[2.949924],157
[0.12402128],5,7,[2.9240248],158
[0.12461307],5,15,[2.9260812],159
[0.12509824],5,7,[2.9234722],160
[0.12548551],5,3,[2.978304],161
[0.12581988],5,14,[2.9497173],162
[0.1260963],5,7,[2.9220178],163
[0.12629662],5,13,[2.9293983],164
[0.12640437],5,17,[2.960804],165
[0.12648392],5,14,[2.9489996],166
[0.1265127],5,11,[2.9578347],167
[0.12648897],5,16,[2.9700067],168
[0.12648043],5,6,[2.9349859],169
[0.12643352],5,11,[2.9576838],170
[0.1263618],5,2,[2.968175],171
[0.1262686],5,5,[2.8711677],172
[0.12684558],5,13,[2.9281359],173
[0.12731461],5,18,[2.9649012],174
[0.12772258],5,4,[2.9423113],175
[0.12801494],5,17,[2.9608274],176
[0.1282662],5,14,[2.9472308],177
[0.12845059],5,5,[2.8689926],178
[0.1292652],5,15,[2.9261258],179
[0.12995704],5,13,[2.9268057],180
[0.13052613],5,12,[2.9759092],181
[0.13098826],5,6,[2.9344802],182
[0.13138326],5,13,[2.925821],183
[0.13167375],5,8,[2.9206078],184
[0.13183004],5,8,[2.920436],185
[0.13188468],5,2,[2.9680226],186
[0.13187991],5,18,[2.9652534],187
[0.13187715],5,13,[2.9234586],188
[0.13180672],5,19,[2.970598],189
[0.13171194],5,4,[2.94279],190
[0.1315834],5,14,[2.9460468],191
[0.13143194],5,14,[2.9458213],192
[0.13126317],5,19,[2.9704092],193
[0.13108334],5,10,[2.961441],194
[0.13089985],5,17,[2.9607768],195
[0.13071913],5,5,[2.8667386],196
[0.13120914],5,8,[2.9175737],197
[0.13157873],5,5,[2.8658822],198
[0.13255824],5,9,[2.9582582],199
[0.13343626],5,13,[2.919542],200
[0.13415183],5,10,[2.9610949],201
[0.13477597],5,16,[2.970814],202
[0.13534054],5,6,[2.9340267],203
[0.1358011],5,19,[2.9697387],204
[0.13618274],5,19,[2.9696224],205
[0.13650262],5,19,[2.9694028],206
[0.13675706],5,6,[2.9333327],207
[0.13697909],5,5,[2.860504],208
[0.13783203],5,16,[2.9706614],209
[0.13864721],5,9,[2.958294],210
[0.1393243],5,1,[2.919943],211
[0.1398972],5,4,[2.9439266],212
[0.14034112],5,8,[2.9167666],213
[0.14063875],5,3,[2.9792836],214
[0.14086999],5,8,[2.9162922],215
[0.1409676],5,18,[2.9666536],216
[0.14102459],5,17,[2.9612503],217
[0.14103396],5,1,[2.91952],218
[0.14098494],5,13,[2.9181654],219
[0.1408566],5,3,[2.9792402],220
[0.14072515],5,2,[2.969311],221
[0.14053574],5,16,[2.9701943],222
[0.14041077],5,11,[2.9597688],223
[0.14023738],5,11,[2.9596589],224
[0.14003378],5,18,[2.966533],225
[0.13984129],5,18,[2.9664016],226
[0.13964513],5,18,[2.9661508],227
[0.1394549],5,4,[2.9437943],228
[0.13924134],5,5,[2.8582532],229
[0.1397591],5,15,[2.9324913],230
[0.14016943],5,10,[2.9610555],231
